OpenAPI feature,Count
Format_date-time_Depth_1,18
ResponseCode_401,5
CallbackComponent,0
Responses,5
ResponseLink,0
Callback,0
XMLSchema_Depth_1,65
Path,5
RequestBodyContent_application/json,5
MediaTypeExtension,0
MediaTypeEncoding,0
SecurityScheme_Type_apiKey,2
Schema_Depth_2,12
SecuritySchemeExtension,0
ComponentExtension,0
GlobalWebhook,0
SchemaType_object,125
SchemaExample_Depth_1,84
XMLExtension,0
XMLWrapped,1
OperationExtension,0
ResponsesExtension,0
ResponseCode_200,5
SecurityScheme_In_header,2
Properties_Depth_2,11
RequestBodyContent,5
Schema_Depth_1,401
MinLength_Depth_1,106
ResponseCode_503,5
ResponseCode_500,5
PathExtension,0
SchemaComponent,2
SchemaExample_Depth_2,11
Path_Post,5
RequestBody,5
SchemaType_string,262
ResponseContent_application/json,42
SchemaExtension_Depth_2,0
HeaderComponent,0
ResponseCode_404,5
ExampleComponent,0
GlobalExtension,0
ServerExtension,0
SchemaExtension_Depth_1,0
Format_uuid_Depth_1,11
Encoding,0
ResponseCode_400,5
ParameterComponent,0
MediaTypeExample,5
PathServer,0
XMLSchema_Depth_2,12
OperationParameter,0
ResponseContent,47
ResponseExtension,0
ResponseContent_application/pdf,5
XMLAttribute,74
Items_Depth_1,1
MinLength_Depth_2,5
Server,1
Operation,5
RequiredSchema_Depth_1,258
Component,11
SchemaType_integer,7
ServerVariable,0
ResponseCode_502,5
PathParameter,0
RequiredSchema_Depth_2,11
RequestBodyExtension,0
Properties_Depth_1,352
ResponseCode_504,5
ResponseComponent,7
ResponseHeader,0
Enum_Depth_2,0
Tag,0
OperationTag,5
Enum_Depth_1,161
Example,100
RefSchema_Depth_1,5
Link,0
Header,0
SchemaType_array,1
RequestBodyComponent,0
SecuritySchemeComponent,2
SchemaType_number,12
Response,40
LinkComponent,0
