OpenAPI feature,Count
SchemaExample_Depth_1,78
Callback,0
XMLSchema_Depth_1,65
ExampleComponent,0
ServerExtension,0
RequestBodyContent_application/json,2
Example,91
SchemaComponent,2
Items_Depth_1,1
ServerVariable,0
Format_uuid_Depth_1,5
Format_date-time_Depth_1,9
MediaTypeExtension,0
ResponseExtension,0
ResponseContent_application/pdf,2
SecurityScheme_Type_apiKey,2
OperationExtension,0
Properties_Depth_2,11
SecuritySchemeExtension,0
GlobalWebhook,0
SchemaExtension_Depth_1,0
MinLength_Depth_1,64
MediaTypeEncoding,0
Enum_Depth_2,0
XMLSchema_Depth_2,12
Operation,2
MediaTypeExample,2
ResponseCode_400,2
ResponseCode_500,2
SchemaType_integer,7
HeaderComponent,0
Header,0
Path_Post,2
RequestBody,2
Encoding,0
ResponseCode_200,2
LinkComponent,0
RefSchema_Depth_1,2
ResponseContent_application/json,21
ResponseLink,0
PathParameter,0
Server,1
SchemaType_string,169
Link,0
SchemaType_array,1
SecuritySchemeComponent,2
Enum_Depth_1,80
ResponseCode_502,2
XMLAttribute,74
RequestBodyContent,2
SchemaType_number,6
Responses,2
ResponsesExtension,0
ResponseCode_503,2
ResponseCode_401,2
PathServer,0
Component,11
CallbackComponent,0
ComponentExtension,0
Tag,0
ResponseHeader,0
RequiredSchema_Depth_2,11
SchemaExample_Depth_2,11
MinLength_Depth_2,5
ParameterComponent,0
GlobalExtension,0
OperationParameter,0
RequestBodyExtension,0
Properties_Depth_1,217
ResponseCode_404,2
PathExtension,0
XMLWrapped,1
RequestBodyComponent,0
Path,2
RequiredSchema_Depth_1,171
ResponseContent,23
ResponseCode_504,2
XMLExtension,0
SchemaExtension_Depth_2,0
ResponseComponent,7
OperationTag,2
SchemaType_object,68
Response,16
SecurityScheme_In_header,2
