OpenAPI feature,Count
Callback,0
ResponseCode_503,1
ResponseCode_400,1
ResponseCode_502,1
MinLength_Depth_2,5
SchemaType_integer,7
ComponentExtension,0
Enum_Depth_1,53
XMLExtension,0
SchemaExtension_Depth_2,0
ParameterComponent,0
SecuritySchemeComponent,2
ResponsesExtension,0
SchemaType_object,49
RequiredSchema_Depth_1,135
SchemaExtension_Depth_1,0
MediaTypeExtension,0
ResponseLink,0
XMLSchema_Depth_2,12
LinkComponent,0
OperationTag,1
ResponseHeader,0
XMLWrapped,1
ResponseComponent,7
OperationExtension,0
Example,81
Format_uuid_Depth_1,3
Header,0
PathExtension,0
ExampleComponent,0
RequestBodyComponent,0
SecurityScheme_Type_apiKey,2
SchemaExample_Depth_1,69
CallbackComponent,0
SecuritySchemeExtension,0
SchemaType_string,131
ResponseCode_500,1
ResponseContent_application/pdf,1
ResponseCode_404,1
GlobalWebhook,0
GlobalExtension,0
Path_Post,1
SchemaType_number,4
MediaTypeEncoding,0
Response,8
PathServer,0
XMLAttribute,74
ServerExtension,0
OperationParameter,0
MinLength_Depth_1,50
ResponseCode_401,1
ResponseContent,15
ResponseExtension,0
Link,0
Path,1
PathParameter,0
Properties_Depth_1,165
ResponseCode_504,1
HeaderComponent,0
Encoding,0
RequestBodyContent_application/json,1
MediaTypeExample,1
SchemaType_array,1
Operation,1
ServerVariable,0
Component,11
SchemaComponent,2
Enum_Depth_2,0
Properties_Depth_2,11
SecurityScheme_In_header,2
Server,1
Items_Depth_1,1
SchemaExample_Depth_2,11
Format_date-time_Depth_1,6
RequestBodyContent,1
RefSchema_Depth_1,1
ResponseContent_application/json,14
ResponseCode_200,1
XMLSchema_Depth_1,65
RequiredSchema_Depth_2,11
RequestBodyExtension,0
RequestBody,1
Responses,1
Tag,0
