OpenAPI feature,Count
Server,1
SchemaExample_Depth_2,33
MinLength_Depth_2,15
ResponseHeader,0
ResponseContent_application/json,119
ResponseExtension,0
SchemaExtension_Depth_2,0
SecurityScheme_In_header,2
Path,16
SchemaType_string,777
Format_uuid_Depth_1,33
ResponseContent_application/xml,2
ResponseComponent,7
SchemaType_object,360
SchemaExtension_Depth_1,0
ResponsesExtension,0
SchemaType_number,34
Link,0
ResponseCode_400,16
Callback,0
SecuritySchemeExtension,0
RequiredSchema_Depth_1,767
Example,319
RefSchema_Depth_1,18
ResponseCode_404,16
XMLAttribute,222
PathServer,0
PathParameter,0
RequiredSchema_Depth_2,33
SecurityScheme_Type_apiKey,2
Path_Post,16
ResponseContent,137
ResponseCode_401,16
XMLWrapped,3
Items_Depth_1,3
ParameterComponent,0
ExampleComponent,0
SecuritySchemeComponent,2
OperationTag,16
ResponseCode_200,16
ResponseCode_502,16
RequestBodyComponent,0
HeaderComponent,0
GlobalWebhook,0
PathExtension,0
XMLSchema_Depth_1,195
Properties_Depth_2,33
Tag,0
MediaTypeEncoding,0
ResponseContent_application/pdf,16
Responses,16
ResponseCode_503,16
Header,0
ResponseCode_500,16
SchemaComponent,2
ServerExtension,0
RequestBodyContent_application/json,16
SchemaExample_Depth_1,270
LinkComponent,0
GlobalExtension,0
Enum_Depth_1,460
SchemaType_integer,21
Operation,16
ResponseLink,0
Enum_Depth_2,0
XMLSchema_Depth_2,36
ComponentExtension,0
CallbackComponent,0
OperationExtension,0
Format_date-time_Depth_1,51
MediaTypeExample,16
RequestBodyContent,16
MediaTypeExtension,0
Response,128
ServerVariable,0
RequestBody,16
RequestBodyExtension,0
MinLength_Depth_1,304
ResponseCode_504,16
XMLExtension,0
SchemaType_array,3
Component,11
OperationParameter,0
Encoding,0
Properties_Depth_1,1037
