OpenAPI feature,Count
ComponentExtension,0
RequiredSchema_Depth_1,134
MediaTypeExtension,0
ResponseContent_application/json,14
Enum_Depth_2,0
ResponseComponent,7
SecurityScheme_Type_apiKey,2
SchemaExample_Depth_1,68
ResponseCode_400,1
ResponseCode_401,1
SecuritySchemeComponent,2
CallbackComponent,0
Operation,1
OperationExtension,0
OperationParameter,0
ResponseLink,0
SchemaType_integer,7
SecuritySchemeExtension,0
Example,80
SchemaType_number,4
SchemaExample_Depth_2,11
RequestBodyContent_application/json,1
Encoding,0
Format_uuid_Depth_1,3
Link,0
ParameterComponent,0
XMLAttribute,74
GlobalExtension,0
Tag,0
Properties_Depth_1,164
MediaTypeExample,1
PathExtension,0
XMLSchema_Depth_1,65
ServerVariable,0
RequestBodyExtension,0
SchemaType_object,49
Format_date-time_Depth_1,6
ResponseCode_404,1
GlobalWebhook,0
Path_Post,1
Enum_Depth_1,53
ResponseCode_502,1
Callback,0
XMLSchema_Depth_2,12
LinkComponent,0
MediaTypeEncoding,0
PathParameter,0
Component,11
Items_Depth_1,1
Response,8
ResponseHeader,0
PathServer,0
SchemaComponent,2
XMLExtension,0
XMLWrapped,1
OperationTag,1
ResponseExtension,0
ResponseCode_200,1
SecurityScheme_In_header,2
Server,1
Path,1
SchemaType_string,130
RefSchema_Depth_1,1
Responses,1
ResponseCode_504,1
SchemaExtension_Depth_1,0
ResponseContent_application/pdf,1
SchemaExtension_Depth_2,0
ExampleComponent,0
RequestBodyComponent,0
HeaderComponent,0
ResponseContent,15
ResponseCode_503,1
ResponseCode_500,1
SchemaType_array,1
RequiredSchema_Depth_2,11
MinLength_Depth_2,5
RequestBody,1
RequestBodyContent,1
ResponsesExtension,0
Properties_Depth_2,11
ServerExtension,0
MinLength_Depth_1,50
Header,0
