OpenAPI feature,Count
MediaTypeExtension,0
ResponseExtension,0
Link,0
ResponseCode_400,1
Component,11
XMLSchema_Depth_2,12
SchemaExample_Depth_1,70
MinLength_Depth_1,50
XMLExtension,0
XMLAttribute,74
RequiredSchema_Depth_2,11
SchemaExtension_Depth_2,0
ComponentExtension,0
Enum_Depth_1,53
ResponseLink,0
MediaTypeExample,1
ResponseCode_503,1
XMLSchema_Depth_1,65
SchemaExtension_Depth_1,0
PathExtension,0
MinLength_Depth_2,5
SecuritySchemeComponent,2
LinkComponent,0
Schema_Depth_1,183
Encoding,0
Format_uuid_Depth_1,3
ResponseCode_401,1
Callback,0
PathParameter,0
SchemaExample_Depth_2,11
GlobalExtension,0
Path,1
ResponseCode_502,1
PathServer,0
SecurityScheme_In_header,2
Server,1
ServerVariable,0
OperationParameter,0
RequestBody,1
ResponseCode_504,1
Items_Depth_1,1
SecurityScheme_Type_apiKey,2
OperationTag,1
SchemaType_object,49
Properties_Depth_1,166
Properties_Depth_2,11
SchemaComponent,2
OperationExtension,0
RequestBodyExtension,0
RequestBodyContent_application/json,1
RequiredSchema_Depth_1,136
MediaTypeEncoding,0
Response,8
ResponsesExtension,0
SchemaType_array,1
Responses,1
ResponseCode_200,1
ResponseContent_application/pdf,1
XMLWrapped,1
ResponseComponent,7
Tag,0
ResponseHeader,0
RequestBodyComponent,0
HeaderComponent,0
CallbackComponent,0
GlobalWebhook,0
ServerExtension,0
SchemaType_string,132
Example,82
ResponseContent_application/json,14
Schema_Depth_2,12
ParameterComponent,0
SchemaType_number,4
Header,0
ResponseContent,15
Enum_Depth_2,0
SecuritySchemeExtension,0
Path_Post,1
RequestBodyContent,1
RefSchema_Depth_1,1
Operation,1
Format_date-time_Depth_1,6
ResponseCode_404,1
ResponseCode_500,1
ExampleComponent,0
SchemaType_integer,7
