OpenAPI feature,Count
Path,1
SchemaType_string,36
MediaTypeEncoding,0
ResponseCode_200,1
PathExtension,0
CallbackComponent,0
ResponseExtension,0
path_Parameter,1
ParameterExtension,0
Responses,1
ResponseLink,0
SchemaExample_Depth_1,13
SecurityScheme_In_header,2
GlobalExtension,0
MinLength_Depth_1,11
Callback,0
ExampleComponent,0
LinkComponent,0
SchemaType_array,2
MinLength_Depth_2,6
ResponseCode_504,1
GlobalWebhook,0
Tag,0
Operation,1
RequiredParameter,1
SchemaExtension_Depth_1,0
Example,20
ResponseContent,8
MediaTypeExtension,0
Link,0
SchemaExample_Depth_2,7
Format_date-time_Depth_1,1
PathServer,0
RequestBodyComponent,0
SecuritySchemeComponent,2
SecurityScheme_Type_apiKey,2
SecuritySchemeExtension,0
Response,8
MinItems_Depth_1,2
ResponseCode_401,1
ServerVariable,0
ResponsesExtension,0
ResponseContent_application/json,8
Enum_Depth_2,0
Header,0
ResponseCode_503,1
PathParameter,0
ParameterComponent,0
RequiredSchema_Depth_2,7
ComponentExtension,0
OperationExtension,0
OperationParameter,1
Server,1
Path_Get,1
OperationTag,1
Encoding,0
RequiredSchema_Depth_1,16
Properties_Depth_2,7
ResponseCode_404,1
SchemaComponent,0
ServerExtension,0
Enum_Depth_1,20
ResponseHeader,0
ResponseCode_502,1
Component,2
HeaderComponent,0
Properties_Depth_1,30
SchemaType_object,8
SchemaExtension_Depth_2,0
ResponseCode_500,1
ResponseComponent,0
ResponseCode_400,1
Items_Depth_1,2
