OpenAPI feature,Count
ExampleComponent,0
XMLAttribute,74
MinLength_Depth_1,50
MediaTypeEncoding,0
Responses,1
Response,8
ResponseCode_404,1
SecuritySchemeComponent,2
GlobalWebhook,0
Example,83
ResponseContent,15
Link,0
SchemaComponent,2
SchemaType_integer,7
SecurityScheme_Type_apiKey,2
Operation,1
Header,0
Component,11
Format_uuid_Depth_1,3
ServerExtension,0
OperationExtension,0
SchemaExample_Depth_1,71
ResponseContent_application/json,14
MediaTypeExample,1
ResponseCode_503,1
Items_Depth_1,1
GlobalExtension,0
ResponseCode_200,1
Properties_Depth_2,11
ResponseCode_400,1
SchemaType_string,133
SchemaType_number,4
ResponseCode_401,1
RequestBodyContent,1
MediaTypeExtension,0
ResponsesExtension,0
SchemaType_array,1
XMLSchema_Depth_2,12
SchemaExtension_Depth_2,0
ParameterComponent,0
OperationTag,1
ResponseCode_500,1
PathExtension,0
RequiredSchema_Depth_2,11
ResponseHeader,0
Enum_Depth_1,53
PathParameter,0
XMLExtension,0
LinkComponent,0
ServerVariable,0
Callback,0
PathServer,0
XMLWrapped,1
RequestBodyComponent,0
ResponseCode_502,1
Format_date-time_Depth_1,6
ResponseExtension,0
XMLSchema_Depth_1,65
MinLength_Depth_2,5
HeaderComponent,0
Path_Post,1
ResponseCode_504,1
CallbackComponent,0
RequestBodyContent_application/json,1
OperationParameter,0
RequestBody,1
RequestBodyExtension,0
RequiredSchema_Depth_1,137
ResponseLink,0
ResponseContent_application/pdf,1
ResponseComponent,7
Tag,0
Encoding,0
Properties_Depth_1,167
SchemaExample_Depth_2,11
SecuritySchemeExtension,0
ComponentExtension,0
SchemaType_object,49
Path,1
SchemaExtension_Depth_1,0
RefSchema_Depth_1,1
Enum_Depth_2,0
SecurityScheme_In_header,2
Server,1
