OpenAPI feature,Count
ServerVariable,0
RequestBodyContent,32
RefSchema_Depth_1,32
Link,0
Callback,0
SchemaComponent,2
MinLength_Depth_2,5
SecurityScheme_Type_apiKey,2
ServerExtension,0
Encoding,0
MediaTypeExtension,0
ResponseCode_504,32
Format_uuid_Depth_1,65
PathParameter,0
Server,1
Properties_Depth_1,1589
Example,203
MediaTypeEncoding,0
XMLAttribute,74
SchemaType_object,638
SchemaType_string,1121
Header,0
ResponseExtension,0
ResponseLink,0
ResponseCode_400,32
RequestBodyExtension,0
SchemaType_number,66
ResponseContent,263
SchemaExample_Depth_2,11
OperationExtension,0
ResponseContent_application/pdf,32
RequestBodyComponent,0
OperationParameter,0
RequiredSchema_Depth_1,1063
ResponseCode_404,32
PathServer,0
Component,11
XMLExtension,0
ParameterComponent,0
Operation,32
Enum_Depth_1,890
ResponseCode_500,32
SecuritySchemeComponent,2
GlobalExtension,0
SchemaExample_Depth_1,160
ResponseCode_503,32
XMLSchema_Depth_1,65
Enum_Depth_2,0
Properties_Depth_2,11
Path,32
SchemaExtension_Depth_1,0
Response,256
PathExtension,0
SchemaType_array,1
LinkComponent,0
Tag,0
ResponsesExtension,0
ResponseCode_401,32
ResponseContent_application/json,231
ResponseCode_502,32
ResponseComponent,7
GlobalWebhook,0
Path_Post,32
RequestBody,32
Format_date-time_Depth_1,99
ResponseCode_200,32
SchemaType_integer,7
SecurityScheme_In_header,2
MinLength_Depth_1,484
ResponseHeader,0
XMLSchema_Depth_2,12
SchemaExtension_Depth_2,0
ComponentExtension,0
OperationTag,32
MediaTypeExample,32
Items_Depth_1,1
HeaderComponent,0
SecuritySchemeExtension,0
RequestBodyContent_application/json,32
Responses,32
XMLWrapped,1
RequiredSchema_Depth_2,11
ExampleComponent,0
CallbackComponent,0
