OpenAPI feature,Count
ServerVariable,0
ServerExtension,0
SchemaExample_Depth_1,81
SchemaExtension_Depth_1,0
SchemaType_number,8
LinkComponent,0
RequestBody,3
Enum_Depth_1,107
ResponseContent,31
ResponseCode_400,3
Enum_Depth_2,0
ResponseComponent,7
ParameterComponent,0
Responses,3
Component,11
XMLWrapped,1
ResponseCode_504,3
XMLSchema_Depth_1,65
Schema_Depth_2,12
OperationParameter,0
SchemaType_string,201
MinLength_Depth_1,78
ResponseCode_200,3
ResponseHeader,0
XMLAttribute,74
SchemaType_integer,7
Path_Post,3
Operation,3
ResponseCode_502,3
ResponseCode_404,3
SchemaComponent,2
MinLength_Depth_2,5
ComponentExtension,0
Tag,0
RequestBodyExtension,0
RequestBodyContent,3
Encoding,0
RequiredSchema_Depth_1,201
MediaTypeExample,3
ResponseLink,0
ResponseCode_500,3
ResponseContent_application/json,28
ResponseCode_503,3
ResponseCode_401,3
XMLExtension,0
GlobalWebhook,0
Server,1
SchemaType_object,87
SchemaType_array,1
CallbackComponent,0
Format_date-time_Depth_1,12
PathParameter,0
SchemaExtension_Depth_2,0
RefSchema_Depth_1,3
Format_uuid_Depth_1,7
ResponsesExtension,0
ResponseExtension,0
Callback,0
PathServer,0
RequiredSchema_Depth_2,11
ExampleComponent,0
SecuritySchemeComponent,2
SecurityScheme_In_header,2
OperationTag,3
MediaTypeEncoding,0
Header,0
XMLSchema_Depth_2,12
SecurityScheme_Type_apiKey,2
GlobalExtension,0
OperationExtension,0
Properties_Depth_1,263
Example,95
Properties_Depth_2,11
SchemaExample_Depth_2,11
HeaderComponent,0
SecuritySchemeExtension,0
Link,0
Items_Depth_1,1
Path,3
ResponseContent_application/pdf,3
RequestBodyComponent,0
RequestBodyContent_application/json,3
Schema_Depth_1,296
MediaTypeExtension,0
Response,24
PathExtension,0
