OpenAPI feature,Count
OperationTag,1
RequestBodyContent,1
SecuritySchemeComponent,2
ResponseCode_502,1
Callback,0
Component,11
XMLWrapped,1
ExampleComponent,0
Operation,1
MediaTypeExample,1
SchemaComponent,2
Enum_Depth_1,53
Format_date-time_Depth_1,6
ResponseCode_401,1
RequiredSchema_Depth_2,11
SchemaExample_Depth_2,11
OperationExtension,0
OperationParameter,0
Encoding,0
SchemaType_number,4
ResponseCode_400,1
Properties_Depth_2,11
GlobalWebhook,0
Path,1
SchemaType_string,130
MediaTypeExtension,0
ResponseCode_500,1
Items_Depth_1,1
Tag,0
SchemaExtension_Depth_1,0
RefSchema_Depth_1,1
XMLSchema_Depth_1,65
SecurityScheme_In_header,2
CallbackComponent,0
Example,80
Link,0
SchemaType_array,1
SecurityScheme_Type_apiKey,2
SchemaType_object,49
SchemaExample_Depth_1,68
PathExtension,0
Enum_Depth_2,0
RequestBodyComponent,0
RequestBodyContent_application/json,1
Properties_Depth_1,164
ResponseCode_404,1
ResponseExtension,0
ResponseLink,0
XMLExtension,0
ComponentExtension,0
ResponseContent,15
GlobalExtension,0
ServerExtension,0
RequestBody,1
RequestBodyExtension,0
MediaTypeEncoding,0
Response,8
ResponseHeader,0
XMLAttribute,74
ResponseComponent,7
SecuritySchemeExtension,0
ServerVariable,0
ResponseContent_application/json,14
SchemaExtension_Depth_2,0
MinLength_Depth_1,50
Format_uuid_Depth_1,3
ResponsesExtension,0
PathServer,0
XMLSchema_Depth_2,12
ResponseContent_application/pdf,1
PathParameter,0
MinLength_Depth_2,5
SchemaType_integer,7
RequiredSchema_Depth_1,134
Header,0
ResponseCode_200,1
ResponseCode_503,1
ResponseCode_504,1
ParameterComponent,0
LinkComponent,0
Server,1
Path_Post,1
Responses,1
HeaderComponent,0
