OpenAPI feature,Count
Example,82
MinLength_Depth_1,50
ResponseContent,15
SchemaType_integer,7
RequestBodyContent_application/json,1
ResponseLink,0
ResponseCode_500,1
XMLExtension,0
GlobalWebhook,0
Path_Post,1
Encoding,0
ResponseCode_200,1
ResponseCode_502,1
Callback,0
Properties_Depth_2,11
SecuritySchemeExtension,0
Enum_Depth_1,53
SchemaExample_Depth_1,70
Format_uuid_Depth_1,3
MediaTypeEncoding,0
PathParameter,0
RequestBodyComponent,0
Tag,0
RefSchema_Depth_1,1
ResponsesExtension,0
ResponseComponent,7
SecuritySchemeComponent,2
Format_date-time_Depth_1,6
MediaTypeExample,1
ResponseCode_504,1
XMLWrapped,1
XMLSchema_Depth_2,12
SchemaExtension_Depth_2,0
SchemaType_number,4
ResponseContent_application/pdf,1
PathServer,0
RequiredSchema_Depth_2,11
LinkComponent,0
ServerExtension,0
OperationTag,1
RequiredSchema_Depth_1,136
ResponseCode_400,1
XMLSchema_Depth_1,65
ResponseHeader,0
ResponseCode_404,1
PathExtension,0
Enum_Depth_2,0
HeaderComponent,0
SecurityScheme_Type_apiKey,2
ExampleComponent,0
GlobalExtension,0
Operation,1
ResponseContent_application/json,14
SchemaComponent,2
Items_Depth_1,1
MinLength_Depth_2,5
OperationParameter,0
Response,8
ResponseCode_503,1
SchemaType_array,1
SchemaExample_Depth_2,11
SecurityScheme_In_header,2
SchemaType_object,49
Properties_Depth_1,166
Component,11
ServerVariable,0
RequestBodyExtension,0
RequestBodyContent,1
ParameterComponent,0
OperationExtension,0
MediaTypeExtension,0
Responses,1
ResponseExtension,0
XMLAttribute,74
ComponentExtension,0
Server,1
Path,1
RequestBody,1
Header,0
Link,0
ResponseCode_401,1
SchemaType_string,132
SchemaExtension_Depth_1,0
CallbackComponent,0
