OpenAPI feature,Count
ServerExtension,0
ResponseContent_application/pdf,2
Schema_Depth_2,12
Properties_Depth_2,11
Tag,0
RequestBodyContent_application/json,2
ResponseCode_504,2
XMLSchema_Depth_2,12
Properties_Depth_1,215
SchemaType_string,167
PathExtension,0
Items_Depth_1,1
MinLength_Depth_2,5
RequestBodyComponent,0
Example,89
MediaTypeEncoding,0
ResponseExtension,0
ResponseLink,0
MediaTypeExample,2
RequestBodyContent,2
SchemaExample_Depth_1,76
ResponseHeader,0
Callback,0
XMLAttribute,74
ParameterComponent,0
SecuritySchemeComponent,2
Path_Post,2
MediaTypeExtension,0
ResponseContent,23
ResponseContent_application/json,21
ResponseCode_502,2
XMLExtension,0
SchemaExtension_Depth_2,0
OperationTag,2
RequestBody,2
RequiredSchema_Depth_1,169
Format_date-time_Depth_1,9
Link,0
Header,0
ResponseCode_404,2
ResponseCode_500,2
XMLSchema_Depth_1,65
SchemaType_object,68
ResponseCode_400,2
SchemaType_integer,7
CallbackComponent,0
ComponentExtension,0
Server,1
Operation,2
ResponseCode_200,2
Component,11
SchemaComponent,2
PathParameter,0
Enum_Depth_2,0
ExampleComponent,0
GlobalWebhook,0
SecurityScheme_Type_apiKey,2
SecuritySchemeExtension,0
OperationExtension,0
RefSchema_Depth_1,2
Responses,2
SchemaExample_Depth_2,11
HeaderComponent,0
SecurityScheme_In_header,2
LinkComponent,0
GlobalExtension,0
OperationParameter,0
ResponsesExtension,0
ResponseCode_503,2
XMLWrapped,1
SchemaType_array,1
ResponseComponent,7
Path,2
Schema_Depth_1,240
MinLength_Depth_1,64
ResponseCode_401,2
PathServer,0
ServerVariable,0
Enum_Depth_1,80
SchemaExtension_Depth_1,0
Format_uuid_Depth_1,5
RequiredSchema_Depth_2,11
RequestBodyExtension,0
Encoding,0
SchemaType_number,6
Response,16
