OpenAPI feature,Count
ResponseCode_200,1
Schema_Depth_2,12
Properties_Depth_2,11
RequiredSchema_Depth_2,11
OperationTag,1
SchemaExample_Depth_1,69
Response,8
ResponseLink,0
ResponseCode_400,1
Enum_Depth_2,0
SchemaExtension_Depth_1,0
Responses,1
ResponseCode_502,1
MinLength_Depth_2,5
Operation,1
ResponseCode_404,1
SchemaComponent,2
SchemaType_integer,7
HeaderComponent,0
Server,1
Path_Post,1
RequestBodyExtension,0
Properties_Depth_1,165
Component,11
RequestBodyComponent,0
ResponseHeader,0
ResponseContent_application/json,14
SchemaExample_Depth_2,11
SchemaExtension_Depth_2,0
CallbackComponent,0
Example,81
ComponentExtension,0
ResponseContent_application/pdf,1
Items_Depth_1,1
RequestBodyContent,1
Enum_Depth_1,53
Format_date-time_Depth_1,6
MediaTypeExtension,0
XMLWrapped,1
Link,0
ResponseCode_504,1
ServerVariable,0
ServerExtension,0
RequestBody,1
RequestBodyContent_application/json,1
Schema_Depth_1,182
Format_uuid_Depth_1,3
SecuritySchemeExtension,0
Callback,0
PathServer,0
PathParameter,0
PathExtension,0
XMLAttribute,74
XMLSchema_Depth_2,12
RequiredSchema_Depth_1,135
Header,0
SecuritySchemeComponent,2
ParameterComponent,0
Tag,0
Path,1
MediaTypeEncoding,0
ResponsesExtension,0
ResponseCode_401,1
MediaTypeExample,1
LinkComponent,0
SchemaType_string,131
RefSchema_Depth_1,1
ResponseCode_500,1
ResponseContent,15
XMLSchema_Depth_1,65
SchemaType_array,1
ResponseCode_503,1
GlobalWebhook,0
OperationExtension,0
OperationParameter,0
SchemaType_object,49
MinLength_Depth_1,50
SchemaType_number,4
ResponseExtension,0
GlobalExtension,0
XMLExtension,0
ResponseComponent,7
SecurityScheme_In_header,2
Encoding,0
ExampleComponent,0
SecurityScheme_Type_apiKey,2
