OpenAPI feature,Count
ResponseCode_200,4
XMLSchema_Depth_1,325
SchemaType_array,5
MinLength_Depth_2,25
SchemaComponent,2
ComponentExtension,0
ServerExtension,0
SchemaExample_Depth_2,55
ExampleComponent,0
SchemaExtension_Depth_1,0
ResponseCode_404,4
ResponseCode_503,4
XMLWrapped,5
Items_Depth_1,5
SecurityScheme_Type_apiKey,2
SecurityScheme_In_header,2
MediaTypeExtension,0
Path_Post,4
RefSchema_Depth_1,8
MinLength_Depth_1,180
Tag,0
Header,0
Link,0
LinkComponent,0
GlobalWebhook,0
SchemaExample_Depth_1,344
OperationParameter,0
ResponseContent_application/pdf,4
XMLExtension,0
Enum_Depth_2,0
Properties_Depth_2,55
XMLSchema_Depth_2,60
Operation,4
OperationExtension,0
ResponseCode_502,4
Server,1
Path,4
Format_uuid_Depth_1,9
Responses,4
XMLAttribute,370
Schema_Depth_2,60
RequiredSchema_Depth_2,55
SchemaExtension_Depth_2,0
ServerVariable,0
SecuritySchemeExtension,0
HeaderComponent,0
RequiredSchema_Depth_1,543
Component,11
Schema_Depth_1,666
SchemaType_number,10
Response,32
ResponseHeader,0
ResponseContent,43
ParameterComponent,0
RequestBodyContent_application/json,4
ResponseCode_401,4
SchemaType_integer,35
CallbackComponent,0
Encoding,0
OperationTag,4
RequestBodyContent,4
Properties_Depth_1,621
SchemaType_string,513
ResponseContent_application/json,35
ResponseExtension,0
Callback,0
GlobalExtension,0
ResponsesExtension,0
MediaTypeExample,4
ResponseComponent,7
RequestBodyComponent,0
Format_date-time_Depth_1,15
MediaTypeEncoding,0
ResponseCode_400,4
PathParameter,0
RequestBodyExtension,0
SchemaType_object,158
Example,403
ResponseLink,0
ResponseContent_application/xml,4
PathExtension,0
SecuritySchemeComponent,2
RequestBody,4
ResponseCode_504,4
ResponseCode_500,4
PathServer,0
Enum_Depth_1,138
