OpenAPI feature,Count
Format_uuid_Depth_1,5
ResponsesExtension,0
XMLExtension,0
SecuritySchemeComponent,2
Path_Post,2
SchemaType_object,68
ResponseContent_application/json,21
Path,2
MinLength_Depth_1,64
ResponseCode_504,2
XMLSchema_Depth_1,65
Format_date-time_Depth_1,9
ResponseExtension,0
Component,11
MinLength_Depth_2,5
ResponseCode_401,2
PathExtension,0
Enum_Depth_2,0
SchemaType_integer,7
Properties_Depth_1,213
ResponseCode_404,2
SchemaExample_Depth_1,74
SchemaExtension_Depth_1,0
MediaTypeEncoding,0
ResponseCode_200,2
XMLAttribute,74
LinkComponent,0
Tag,0
Encoding,0
RefSchema_Depth_1,2
Properties_Depth_2,11
ExampleComponent,0
HeaderComponent,0
OperationParameter,0
RequestBody,2
SecuritySchemeExtension,0
ResponseLink,0
ResponseContent_application/pdf,2
RequestBodyComponent,0
RequiredSchema_Depth_1,167
MediaTypeExtension,0
RequestBodyContent_application/json,2
ResponseHeader,0
SchemaType_array,1
Server,1
RequestBodyContent,2
ResponseContent,23
ResponseCode_500,2
ResponseCode_400,2
Items_Depth_1,1
SchemaExtension_Depth_2,0
ResponseComponent,7
Operation,2
Responses,2
GlobalWebhook,0
Enum_Depth_1,80
Header,0
ResponseCode_503,2
PathServer,0
PathParameter,0
SchemaExample_Depth_2,11
GlobalExtension,0
OperationTag,2
SchemaType_number,6
SchemaComponent,2
XMLSchema_Depth_2,12
ComponentExtension,0
ServerVariable,0
Example,87
XMLWrapped,1
ParameterComponent,0
RequestBodyExtension,0
SchemaType_string,165
Response,16
MediaTypeExample,2
CallbackComponent,0
ServerExtension,0
OperationExtension,0
Callback,0
RequiredSchema_Depth_2,11
SecurityScheme_Type_apiKey,2
SecurityScheme_In_header,2
Link,0
ResponseCode_502,2
