OpenAPI feature,Count
OperationExtension,0
Example,83
MediaTypeEncoding,0
ResponseCode_200,2
HeaderComponent,0
Path_Post,2
ResponseLink,0
ResponseCode_502,2
XMLAttribute,74
MediaTypeExtension,0
Encoding,0
MinLength_Depth_1,64
Link,0
ResponseCode_504,2
SchemaComponent,2
Enum_Depth_2,0
SchemaExtension_Depth_2,0
RequestBodyExtension,0
ResponseContent_application/json,21
Tag,0
Format_uuid_Depth_1,5
PathServer,0
XMLSchema_Depth_1,65
XMLExtension,0
ExampleComponent,0
Operation,2
Enum_Depth_1,80
SchemaType_number,6
ResponseContent_application/pdf,2
Callback,0
ServerVariable,0
SchemaExtension_Depth_1,0
Header,0
ResponseExtension,0
ResponseCode_404,2
PathExtension,0
XMLSchema_Depth_2,12
RequestBodyContent_application/json,2
Responses,2
MediaTypeExample,2
SchemaType_array,1
XMLWrapped,1
RequiredSchema_Depth_2,11
ParameterComponent,0
RequestBody,2
RequiredSchema_Depth_1,163
Properties_Depth_1,209
SchemaType_string,161
ResponseCode_503,2
PathParameter,0
Component,11
Path,2
ResponsesExtension,0
Items_Depth_1,1
Properties_Depth_2,11
SecurityScheme_Type_apiKey,2
ServerExtension,0
ResponseCode_400,2
SchemaExample_Depth_2,11
MinLength_Depth_2,5
ResponseComponent,7
SecuritySchemeComponent,2
RefSchema_Depth_1,2
RequestBodyComponent,0
SecuritySchemeExtension,0
Format_date-time_Depth_1,9
GlobalWebhook,0
OperationParameter,0
ResponseContent,23
SchemaType_integer,7
ComponentExtension,0
GlobalExtension,0
OperationTag,2
RequestBodyContent,2
SchemaType_object,68
SchemaExample_Depth_1,70
ResponseHeader,0
ResponseCode_401,2
SecurityScheme_In_header,2
Server,1
CallbackComponent,0
ResponseCode_500,2
LinkComponent,0
Response,16
