OpenAPI feature,Count
MinLength_Depth_2,5
ParameterComponent,0
Operation,4
SchemaType_object,106
Enum_Depth_1,134
Response,32
ResponseLink,0
ServerVariable,0
Callback,0
RequestBodyComponent,0
SecurityScheme_Type_apiKey,2
RequiredSchema_Depth_1,235
SchemaType_string,237
ResponsesExtension,0
ResponseCode_404,4
RequiredSchema_Depth_2,11
Encoding,0
Format_uuid_Depth_1,9
Responses,4
ResponseCode_200,4
ResponseExtension,0
PathServer,0
XMLAttribute,74
SecuritySchemeComponent,2
Schema_Depth_1,354
ResponseContent,39
ResponseCode_400,4
ResponseContent_application/json,35
ResponseCode_503,4
OperationExtension,0
Component,11
SecurityScheme_In_header,2
SecuritySchemeExtension,0
Header,0
XMLExtension,0
ResponseCode_500,4
ExampleComponent,0
RequestBodyExtension,0
RequestBodyContent_application/json,4
MediaTypeEncoding,0
ResponseCode_502,4
ResponseComponent,7
SchemaExample_Depth_1,88
Example,103
RefSchema_Depth_1,4
ResponseHeader,0
Enum_Depth_2,0
ResponseCode_401,4
SchemaType_array,1
Schema_Depth_2,12
Path_Post,4
OperationParameter,0
RequestBody,4
SchemaExtension_Depth_1,0
ResponseContent_application/pdf,4
LinkComponent,0
SchemaType_integer,7
Path,4
OperationTag,4
RequestBodyContent,4
Properties_Depth_1,313
XMLSchema_Depth_2,12
SchemaComponent,2
XMLSchema_Depth_1,65
XMLWrapped,1
GlobalExtension,0
Server,1
MinLength_Depth_1,92
SchemaType_number,10
ResponseCode_504,4
SchemaExample_Depth_2,11
ServerExtension,0
MediaTypeExample,4
PathParameter,0
Items_Depth_1,1
ComponentExtension,0
CallbackComponent,0
Tag,0
MediaTypeExtension,0
PathExtension,0
Properties_Depth_2,11
SchemaExtension_Depth_2,0
Format_date-time_Depth_1,15
Link,0
HeaderComponent,0
GlobalWebhook,0
