OpenAPI feature,Count
SecuritySchemeComponent,2
ResponseExtension,0
ResponseCode_404,1
ResponseCode_502,1
MinLength_Depth_2,5
SchemaType_object,49
XMLSchema_Depth_2,12
Component,11
SchemaType_array,1
SecurityScheme_In_header,2
Encoding,0
Responses,1
ResponseHeader,0
ResponseContent_application/json,14
Enum_Depth_2,0
SchemaExample_Depth_1,70
ResponseContent,15
XMLSchema_Depth_1,65
ParameterComponent,0
ResponseContent_application/pdf,1
SchemaComponent,2
LinkComponent,0
GlobalExtension,0
RequestBody,1
RequiredSchema_Depth_1,136
ResponseCode_503,1
PathServer,0
Properties_Depth_2,11
SecuritySchemeExtension,0
Path,1
OperationParameter,0
SchemaExtension_Depth_1,0
Format_date-time_Depth_1,6
Callback,0
HeaderComponent,0
ComponentExtension,0
RequestBodyContent,1
MinLength_Depth_1,50
Header,0
ResponseCode_504,1
PathParameter,0
SchemaType_integer,7
ExampleComponent,0
SchemaType_string,132
Example,82
ResponseLink,0
Link,0
XMLAttribute,74
RequestBodyComponent,0
Server,1
ServerVariable,0
RefSchema_Depth_1,1
ResponseCode_400,1
SchemaExtension_Depth_2,0
SchemaType_number,4
MediaTypeExtension,0
MediaTypeExample,1
Items_Depth_1,1
ResponseCode_500,1
Tag,0
RequestBodyContent_application/json,1
Format_uuid_Depth_1,3
ResponsesExtension,0
RequiredSchema_Depth_2,11
GlobalWebhook,0
Enum_Depth_1,53
Properties_Depth_1,166
MediaTypeEncoding,0
ResponseCode_200,1
Response,8
ResponseComponent,7
SecurityScheme_Type_apiKey,2
OperationTag,1
Schema_Depth_1,183
ResponseCode_401,1
XMLExtension,0
ServerExtension,0
Path_Post,1
Operation,1
OperationExtension,0
XMLWrapped,1
CallbackComponent,0
RequestBodyExtension,0
PathExtension,0
Schema_Depth_2,12
SchemaExample_Depth_2,11
