OpenAPI feature,Count
RequestBody,8
Properties_Depth_1,509
ResponsesExtension,0
ResponseContent_application/json,63
ResponseCode_504,8
Component,11
Properties_Depth_2,11
RequestBodyComponent,0
OperationParameter,0
RefSchema_Depth_1,8
Header,0
ResponseLink,0
ResponseCode_200,8
XMLSchema_Depth_1,65
SchemaType_array,1
RequiredSchema_Depth_2,11
ServerExtension,0
Operation,8
OperationTag,8
MinLength_Depth_1,148
Format_uuid_Depth_1,17
Schema_Depth_2,12
ExampleComponent,0
RequestBodyContent_application/json,8
Schema_Depth_1,582
Encoding,0
SchemaType_string,377
MediaTypeExtension,0
Callback,0
Items_Depth_1,1
LinkComponent,0
RequiredSchema_Depth_1,367
ResponseCode_503,8
Enum_Depth_2,0
RequestBodyExtension,0
RequestBodyContent,8
SchemaExample_Depth_1,112
SchemaExtension_Depth_1,0
Responses,8
ResponseExtension,0
GlobalWebhook,0
ServerVariable,0
Path,8
Path_Post,8
SchemaType_object,182
Format_date-time_Depth_1,27
Response,64
ResponseCode_401,8
Link,0
ParameterComponent,0
SecurityScheme_Type_apiKey,2
GlobalExtension,0
ResponseContent,71
ResponseCode_400,8
XMLSchema_Depth_2,12
SchemaExtension_Depth_2,0
Server,1
ResponseComponent,7
SchemaType_number,18
XMLAttribute,74
SecurityScheme_In_header,2
SchemaExample_Depth_2,11
MediaTypeExample,8
MinLength_Depth_2,5
SchemaType_integer,7
OperationExtension,0
MediaTypeEncoding,0
ResponseCode_404,8
ResponseCode_500,8
XMLWrapped,1
HeaderComponent,0
PathParameter,0
PathExtension,0
SchemaComponent,2
SecuritySchemeComponent,2
SecuritySchemeExtension,0
CallbackComponent,0
ComponentExtension,0
Tag,0
Enum_Depth_1,242
Example,131
ResponseHeader,0
PathServer,0
XMLExtension,0
ResponseCode_502,8
ResponseContent_application/pdf,8
