OpenAPI feature,Count
SecuritySchemeExtension,0
SchemaType_object,49
ResponsesExtension,0
ResponseLink,0
ResponseContent_application/pdf,1
Enum_Depth_2,0
SchemaExample_Depth_2,11
SchemaExtension_Depth_2,0
ResponseCode_404,1
ResponseCode_503,1
ComponentExtension,0
CallbackComponent,0
RequestBodyExtension,0
Enum_Depth_1,53
SchemaType_string,131
Link,0
PathServer,0
SchemaComponent,2
XMLExtension,0
Path,1
ResponseContent,15
SchemaType_array,1
Server,1
Path_Post,1
Operation,1
RequestBodyContent,1
MediaTypeExtension,0
ResponseCode_504,1
ParameterComponent,0
ServerExtension,0
Format_uuid_Depth_1,3
Callback,0
OperationExtension,0
OperationTag,1
MediaTypeExample,1
PathParameter,0
RequestBody,1
RequiredSchema_Depth_1,135
ResponseCode_500,1
XMLSchema_Depth_1,65
XMLAttribute,74
RequiredSchema_Depth_2,11
RequestBodyComponent,0
Schema_Depth_1,182
Responses,1
ResponseHeader,0
ResponseExtension,0
Properties_Depth_1,165
XMLWrapped,1
SchemaType_integer,7
ExampleComponent,0
SecuritySchemeComponent,2
LinkComponent,0
GlobalExtension,0
OperationParameter,0
SchemaExample_Depth_1,69
Header,0
PathExtension,0
MinLength_Depth_2,5
HeaderComponent,0
Encoding,0
Response,8
ResponseCode_502,1
ResponseCode_200,1
XMLSchema_Depth_2,12
ResponseComponent,7
GlobalWebhook,0
MinLength_Depth_1,50
Schema_Depth_2,12
Tag,0
SchemaType_number,4
ResponseContent_application/json,14
SecurityScheme_Type_apiKey,2
ServerVariable,0
Example,81
SchemaExtension_Depth_1,0
Format_date-time_Depth_1,6
MediaTypeEncoding,0
ResponseCode_400,1
Properties_Depth_2,11
SecurityScheme_In_header,2
RequestBodyContent_application/json,1
RefSchema_Depth_1,1
ResponseCode_401,1
Component,11
Items_Depth_1,1
