OpenAPI feature,Count
GlobalExtension,0
OperationTag,1
MinLength_Depth_1,50
ResponseCode_200,1
RequestBodyComponent,0
Tag,0
SchemaType_string,132
Component,11
XMLAttribute,74
SchemaType_array,1
ParameterComponent,0
Server,1
Link,0
ResponseContent_application/json,14
ResponseCode_504,1
Enum_Depth_2,0
ComponentExtension,0
Format_date-time_Depth_1,6
PathParameter,0
XMLExtension,0
SchemaExample_Depth_2,11
SchemaType_integer,7
Header,0
MediaTypeExample,1
ResponseCode_503,1
SecurityScheme_In_header,2
Format_uuid_Depth_1,3
ResponseCode_400,1
RequiredSchema_Depth_2,11
Operation,1
RequestBodyContent_application/json,1
ResponseCode_502,1
ResponseCode_401,1
ExampleComponent,0
SchemaType_object,49
ResponseExtension,0
XMLWrapped,1
CallbackComponent,0
RequiredSchema_Depth_1,136
Responses,1
Response,8
MinLength_Depth_2,5
LinkComponent,0
Path,1
Path_Post,1
Enum_Depth_1,53
ResponseContent_application/pdf,1
ResponseCode_500,1
XMLSchema_Depth_2,12
SecurityScheme_Type_apiKey,2
ServerVariable,0
RequestBodyContent,1
Properties_Depth_1,166
RefSchema_Depth_1,1
PathServer,0
GlobalWebhook,0
SchemaExample_Depth_1,70
ResponseLink,0
SchemaComponent,2
ResponseComponent,7
SecuritySchemeExtension,0
SchemaExtension_Depth_2,0
OperationParameter,0
SchemaType_number,4
MediaTypeExtension,0
MediaTypeEncoding,0
ResponseHeader,0
ResponseCode_404,1
PathExtension,0
XMLSchema_Depth_1,65
ServerExtension,0
RequestBody,1
RequestBodyExtension,0
Encoding,0
ResponseContent,15
HeaderComponent,0
Properties_Depth_2,11
SecuritySchemeComponent,2
OperationExtension,0
SchemaExtension_Depth_1,0
ResponsesExtension,0
Callback,0
Items_Depth_1,1
Example,82
