OpenAPI feature,Count
OperationParameter,0
PathParameter,0
RequiredSchema_Depth_2,11
SchemaExtension_Depth_2,0
MediaTypeExample,4
Callback,0
PathServer,0
ExampleComponent,0
ResponseCode_400,4
PathExtension,0
SchemaType_array,1
Path_Post,4
SchemaType_number,10
Response,32
ResponseContent,39
ResponseCode_200,4
ParameterComponent,0
ServerVariable,0
SchemaType_string,233
SchemaExample_Depth_1,84
Link,0
ResponseCode_500,4
Properties_Depth_2,11
ResponseHeader,0
Operation,4
MinLength_Depth_1,92
Format_uuid_Depth_1,9
ResponseCode_503,4
XMLWrapped,1
RequestBodyContent_application/json,4
Example,99
RefSchema_Depth_1,4
ResponseContent_application/json,35
Component,11
HeaderComponent,0
Tag,0
RequiredSchema_Depth_1,231
MediaTypeEncoding,0
Responses,4
ResponseExtension,0
ResponseCode_401,4
SchemaType_object,106
Properties_Depth_1,309
XMLSchema_Depth_1,65
SchemaExample_Depth_2,11
SecurityScheme_Type_apiKey,2
ComponentExtension,0
OperationExtension,0
ResponsesExtension,0
ResponseCode_404,4
ResponseContent_application/pdf,4
LinkComponent,0
RequestBodyComponent,0
SecuritySchemeComponent,2
Path,4
RequestBody,4
Encoding,0
Format_date-time_Depth_1,15
ResponseCode_502,4
Enum_Depth_2,0
GlobalWebhook,0
ResponseComponent,7
SecuritySchemeExtension,0
GlobalExtension,0
Server,1
RequestBodyContent,4
SchemaExtension_Depth_1,0
ResponseLink,0
SchemaComponent,2
CallbackComponent,0
ResponseCode_504,4
XMLAttribute,74
XMLSchema_Depth_2,12
OperationTag,4
XMLExtension,0
MinLength_Depth_2,5
SchemaType_integer,7
ServerExtension,0
RequestBodyExtension,0
Enum_Depth_1,134
MediaTypeExtension,0
Header,0
Items_Depth_1,1
SecurityScheme_In_header,2
