OpenAPI feature,Count
Path_Post,2
RequestBody,2
ResponseContent,23
SchemaComponent,2
SchemaType_array,1
MediaTypeEncoding,0
ResponseLink,0
ResponseCode_200,2
Items_Depth_1,1
Properties_Depth_2,11
GlobalWebhook,0
ServerVariable,0
OperationTag,2
SchemaType_number,6
ResponseCode_503,2
Component,11
XMLAttribute,74
SchemaExtension_Depth_2,0
SchemaType_object,68
Format_uuid_Depth_1,5
ResponseContent_application/json,21
MediaTypeExample,2
RequiredSchema_Depth_2,11
ParameterComponent,0
ServerExtension,0
Path,2
RequestBodyContent,2
Properties_Depth_1,215
SchemaType_string,167
ResponseCode_502,2
XMLExtension,0
ResponseCode_500,2
Server,1
Operation,2
RefSchema_Depth_1,2
ResponseExtension,0
ResponseCode_504,2
ResponseContent_application/pdf,2
ResponseCode_400,2
Callback,0
GlobalExtension,0
OperationParameter,0
MediaTypeExtension,0
Enum_Depth_2,0
CallbackComponent,0
RequestBodyContent_application/json,2
Example,89
ResponsesExtension,0
ResponseHeader,0
ResponseCode_404,2
PathParameter,0
SecurityScheme_Type_apiKey,2
OperationExtension,0
Enum_Depth_1,80
Header,0
Link,0
RequestBodyComponent,0
SecuritySchemeComponent,2
Encoding,0
PathExtension,0
Responses,2
PathServer,0
ExampleComponent,0
RequestBodyExtension,0
RequiredSchema_Depth_1,169
Response,16
XMLWrapped,1
MinLength_Depth_2,5
SecuritySchemeExtension,0
SchemaExample_Depth_1,76
MinLength_Depth_1,64
Format_date-time_Depth_1,9
ResponseCode_401,2
SchemaExample_Depth_2,11
ResponseComponent,7
LinkComponent,0
Tag,0
ComponentExtension,0
SchemaExtension_Depth_1,0
XMLSchema_Depth_1,65
XMLSchema_Depth_2,12
SchemaType_integer,7
HeaderComponent,0
SecurityScheme_In_header,2
