OpenAPI feature,Count
RequestBody,1
SchemaType_object,49
ResponseCode_200,1
ResponseComponent,7
Server,1
OperationExtension,0
OperationTag,1
Responses,1
Items_Depth_1,1
MinLength_Depth_2,5
ExampleComponent,0
SecuritySchemeComponent,2
Path,1
MediaTypeExtension,0
ResponseContent_application/json,14
MediaTypeExample,1
XMLExtension,0
SchemaType_array,1
RequiredSchema_Depth_2,11
XMLSchema_Depth_2,12
RequestBodyExtension,0
ResponseContent_application/pdf,1
PathParameter,0
XMLAttribute,74
LinkComponent,0
CallbackComponent,0
GlobalWebhook,0
Encoding,0
SchemaType_string,132
Format_date-time_Depth_1,6
MediaTypeEncoding,0
Header,0
ResponseExtension,0
PathServer,0
GlobalExtension,0
Example,82
ResponseCode_401,1
ResponseCode_503,1
PathExtension,0
Enum_Depth_2,0
SecurityScheme_In_header,2
SecuritySchemeExtension,0
RequestBodyContent,1
SecurityScheme_Type_apiKey,2
ServerExtension,0
Properties_Depth_1,166
RefSchema_Depth_1,1
Tag,0
Response,8
ResponsesExtension,0
ResponseCode_504,1
ResponseContent,15
Link,0
ResponseCode_500,1
Properties_Depth_2,11
ServerVariable,0
ResponseCode_404,1
Callback,0
SchemaComponent,2
XMLSchema_Depth_1,65
Operation,1
ResponseHeader,0
ResponseCode_400,1
ParameterComponent,0
RequestBodyComponent,0
ComponentExtension,0
MinLength_Depth_1,50
SchemaExtension_Depth_1,0
Format_uuid_Depth_1,3
OperationParameter,0
SchemaExample_Depth_1,70
ResponseCode_502,1
RequestBodyContent_application/json,1
ResponseLink,0
Component,11
HeaderComponent,0
Path_Post,1
XMLWrapped,1
SchemaExample_Depth_2,11
SchemaType_integer,7
RequiredSchema_Depth_1,136
SchemaType_number,4
SchemaExtension_Depth_2,0
Enum_Depth_1,53
