OpenAPI feature,Count
RequestBodyComponent,0
GlobalWebhook,0
Server,1
ServerExtension,0
PathParameter,0
XMLExtension,0
ResponseCode_200,1
Schema_Depth_2,12
ServerVariable,0
Path_Post,1
MediaTypeExtension,0
ResponseHeader,0
ResponseExtension,0
LinkComponent,0
SecuritySchemeComponent,2
MediaTypeEncoding,0
Header,0
ResponseCode_503,1
Callback,0
SchemaExtension_Depth_2,0
CallbackComponent,0
ResponsesExtension,0
ResponseCode_502,1
ResponseCode_404,1
Component,11
SchemaType_integer,7
RequestBodyExtension,0
Schema_Depth_1,181
Responses,1
ResponseCode_401,1
MinLength_Depth_2,5
RequestBodyContent,1
SchemaExample_Depth_1,68
Response,8
PathExtension,0
Path,1
Items_Depth_1,1
Enum_Depth_2,0
SecurityScheme_In_header,2
MinLength_Depth_1,50
ResponseContent,15
ResponseLink,0
MediaTypeExample,1
XMLSchema_Depth_1,65
XMLSchema_Depth_2,12
ComponentExtension,0
OperationParameter,0
Encoding,0
Format_date-time_Depth_1,6
ResponseContent_application/json,14
SchemaType_number,4
ResponseContent_application/pdf,1
GlobalExtension,0
SchemaType_string,130
SchemaExtension_Depth_1,0
RefSchema_Depth_1,1
Properties_Depth_2,11
Operation,1
Format_uuid_Depth_1,3
SchemaComponent,2
SchemaType_array,1
Link,0
ResponseCode_504,1
PathServer,0
RequiredSchema_Depth_2,11
OperationExtension,0
RequestBody,1
Enum_Depth_1,53
Properties_Depth_1,164
ParameterComponent,0
ExampleComponent,0
SecurityScheme_Type_apiKey,2
SchemaExample_Depth_2,11
Tag,0
SchemaType_object,49
XMLAttribute,74
XMLWrapped,1
HeaderComponent,0
OperationTag,1
RequestBodyContent_application/json,1
RequiredSchema_Depth_1,134
ResponseComponent,7
Example,80
ResponseCode_400,1
ResponseCode_500,1
SecuritySchemeExtension,0
