OpenAPI feature,Count
Path_Post,7
RequestBody,7
ResponseLink,0
SchemaExtension_Depth_2,0
Tag,0
OperationParameter,0
Enum_Depth_2,0
SchemaExample_Depth_1,106
RequestBodyContent_application/json,7
MediaTypeEncoding,0
Responses,7
ResponseCode_504,7
RequestBodyComponent,0
OperationExtension,0
Enum_Depth_1,215
RequiredSchema_Depth_2,11
SecurityScheme_Type_apiKey,2
Server,1
ServerExtension,0
Properties_Depth_1,460
SchemaExtension_Depth_1,0
ResponseContent_application/json,56
HeaderComponent,0
SchemaType_number,16
ResponseCode_401,7
ResponseContent,63
ParameterComponent,0
LinkComponent,0
GlobalWebhook,0
RefSchema_Depth_1,7
Format_uuid_Depth_1,15
ResponseExtension,0
ResponseCode_400,7
PathParameter,0
XMLExtension,0
MinLength_Depth_2,5
ResponseComponent,7
CallbackComponent,0
ComponentExtension,0
Path,7
MediaTypeExtension,0
MediaTypeExample,7
XMLSchema_Depth_2,12
GlobalExtension,0
RequiredSchema_Depth_1,334
SchemaType_array,1
XMLWrapped,1
Items_Depth_1,1
ExampleComponent,0
ServerVariable,0
OperationTag,7
RequestBodyContent,7
Encoding,0
SchemaType_string,342
Format_date-time_Depth_1,24
ResponsesExtension,0
ResponseCode_404,7
Callback,0
SchemaComponent,2
XMLSchema_Depth_1,65
SecurityScheme_In_header,2
SchemaType_object,163
Header,0
RequestBodyExtension,0
MinLength_Depth_1,134
Response,56
ResponseHeader,0
ResponseCode_502,7
PathExtension,0
Schema_Depth_2,12
Properties_Depth_2,11
SecuritySchemeExtension,0
Link,0
Component,11
SchemaType_integer,7
Example,124
ResponseCode_500,7
ResponseCode_503,7
SecuritySchemeComponent,2
Operation,7
Schema_Depth_1,525
ResponseCode_200,7
ResponseContent_application/pdf,7
PathServer,0
XMLAttribute,74
SchemaExample_Depth_2,11
