OpenAPI feature,Count
HeaderComponent,0
ComponentExtension,0
XMLAttribute,74
XMLWrapped,1
Items_Depth_1,1
ExampleComponent,0
MinLength_Depth_1,50
Header,0
ResponseCode_200,1
SecurityScheme_Type_apiKey,2
ResponseCode_502,1
Callback,0
XMLSchema_Depth_1,65
SchemaType_integer,7
Tag,0
Operation,1
Properties_Depth_1,166
ResponseHeader,0
GlobalWebhook,0
GlobalExtension,0
Path_Post,1
PathServer,0
RequestBodyComponent,0
Properties_Depth_2,11
ServerVariable,0
ResponsesExtension,0
MediaTypeExample,1
PathParameter,0
MediaTypeExtension,0
PathExtension,0
RequiredSchema_Depth_1,136
SchemaType_string,132
ResponseCode_400,1
ResponseContent,15
ResponseLink,0
ResponseCode_500,1
ResponseContent_application/pdf,1
OperationParameter,0
RequestBody,1
Enum_Depth_1,53
SchemaExtension_Depth_1,0
XMLExtension,0
ResponseCode_503,1
MinLength_Depth_2,5
Path,1
SchemaType_object,49
MediaTypeEncoding,0
Response,8
SchemaType_number,4
ResponseExtension,0
SchemaComponent,2
SchemaExtension_Depth_2,0
OperationExtension,0
OperationTag,1
RequestBodyContent,1
RefSchema_Depth_1,1
LinkComponent,0
SecuritySchemeComponent,2
CallbackComponent,0
RequestBodyExtension,0
Example,82
Responses,1
ResponseContent_application/json,14
SecuritySchemeExtension,0
Server,1
ResponseCode_404,1
ResponseCode_504,1
XMLSchema_Depth_2,12
SchemaExample_Depth_1,70
Component,11
SchemaType_array,1
Format_date-time_Depth_1,6
Enum_Depth_2,0
SchemaExample_Depth_2,11
ResponseComponent,7
ServerExtension,0
RequestBodyContent_application/json,1
Encoding,0
Format_uuid_Depth_1,3
ResponseCode_401,1
RequiredSchema_Depth_2,11
SecurityScheme_In_header,2
Link,0
ParameterComponent,0
