OpenAPI feature,Count
XMLWrapped,1
RequiredSchema_Depth_2,11
LinkComponent,0
RequiredSchema_Depth_1,137
Example,83
SchemaComponent,2
HeaderComponent,0
SecuritySchemeComponent,2
Response,8
XMLAttribute,74
SchemaType_integer,7
MinLength_Depth_2,5
Encoding,0
MediaTypeEncoding,0
PathParameter,0
ResponseCode_404,1
Component,11
ServerVariable,0
SchemaExample_Depth_1,71
ResponseCode_502,1
Tag,0
ComponentExtension,0
XMLSchema_Depth_1,65
Items_Depth_1,1
Enum_Depth_2,0
SecurityScheme_In_header,2
CallbackComponent,0
Enum_Depth_1,53
Properties_Depth_1,167
ResponseHeader,0
ResponseCode_400,1
ExampleComponent,0
Server,1
OperationParameter,0
RequestBodyContent_application/json,1
Operation,1
Responses,1
SchemaExtension_Depth_2,0
Format_uuid_Depth_1,3
Format_date-time_Depth_1,6
ResponseCode_503,1
ResponseCode_200,1
Callback,0
Path_Post,1
RequestBody,1
MinLength_Depth_1,50
SchemaExample_Depth_2,11
GlobalWebhook,0
SchemaType_string,133
SchemaExtension_Depth_1,0
RefSchema_Depth_1,1
ResponsesExtension,0
ResponseCode_504,1
GlobalExtension,0
ServerExtension,0
Schema_Depth_1,184
Properties_Depth_2,11
Link,0
PathServer,0
PathExtension,0
Path,1
RequestBodyContent,1
SchemaType_object,49
Header,0
ResponseLink,0
ResponseContent_application/pdf,1
MediaTypeExample,1
XMLSchema_Depth_2,12
OperationExtension,0
RequestBodyExtension,0
SchemaType_number,4
SecuritySchemeExtension,0
ParameterComponent,0
RequestBodyComponent,0
SecurityScheme_Type_apiKey,2
XMLExtension,0
SchemaType_array,1
OperationTag,1
ResponseContent_application/json,14
ResponseCode_500,1
Schema_Depth_2,12
ResponseCode_401,1
ResponseComponent,7
MediaTypeExtension,0
ResponseContent,15
ResponseExtension,0
