OpenAPI feature,Count
Link,0
Schema_Depth_2,12
Tag,0
MinLength_Depth_1,78
Items_Depth_1,1
RequestBodyComponent,0
ResponseCode_404,3
PathParameter,0
Properties_Depth_2,11
Server,1
Path,3
RequestBodyContent_application/json,3
RefSchema_Depth_1,3
MediaTypeExtension,0
XMLSchema_Depth_2,12
SchemaExtension_Depth_2,0
SecurityScheme_Type_apiKey,2
SecurityScheme_In_header,2
ResponseCode_503,3
LinkComponent,0
GlobalWebhook,0
Callback,0
XMLSchema_Depth_1,65
RequiredSchema_Depth_2,11
OperationParameter,0
SchemaType_object,87
RequiredSchema_Depth_1,196
SchemaType_string,196
ResponseContent_application/pdf,3
SchemaExample_Depth_2,11
Encoding,0
SchemaType_number,8
Header,0
XMLWrapped,1
MinLength_Depth_2,5
ResponseComponent,7
HeaderComponent,0
SecuritySchemeComponent,2
RequestBody,3
Schema_Depth_1,291
Response,24
ResponsesExtension,0
ResponseCode_400,3
Operation,3
OperationTag,3
XMLAttribute,74
ServerExtension,0
Enum_Depth_1,107
Example,90
ResponseCode_200,3
XMLExtension,0
ResponseCode_500,3
ResponseCode_504,3
ParameterComponent,0
Path_Post,3
Properties_Depth_1,258
SchemaExtension_Depth_1,0
ResponseContent,31
MediaTypeExample,3
SecuritySchemeExtension,0
ServerVariable,0
Responses,3
SchemaType_array,1
ComponentExtension,0
PathServer,0
PathExtension,0
SchemaType_integer,7
OperationExtension,0
Format_date-time_Depth_1,12
ResponseHeader,0
ResponseContent_application/json,28
CallbackComponent,0
SchemaComponent,2
Enum_Depth_2,0
ExampleComponent,0
RequestBodyExtension,0
ResponseExtension,0
ResponseLink,0
ResponseCode_502,3
ResponseCode_401,3
GlobalExtension,0
Component,11
RequestBodyContent,3
SchemaExample_Depth_1,76
Format_uuid_Depth_1,7
MediaTypeEncoding,0
