OpenAPI feature,Count
Enum_Depth_1,53
SchemaType_string,131
LinkComponent,0
Path_Post,1
SchemaType_number,4
ResponseCode_502,1
Component,11
SchemaType_array,1
ResponseCode_200,1
Properties_Depth_2,11
XMLSchema_Depth_2,12
OperationParameter,0
Schema_Depth_1,182
SchemaExample_Depth_1,69
ResponseCode_503,1
ResponseCode_404,1
ResponseContent_application/pdf,1
ServerVariable,0
RequestBodyContent_application/json,1
RefSchema_Depth_1,1
Format_uuid_Depth_1,3
Format_date-time_Depth_1,6
CallbackComponent,0
GlobalWebhook,0
ResponseContent,15
ResponseContent_application/json,14
ResponseLink,0
ResponseCode_504,1
SecuritySchemeComponent,2
RequiredSchema_Depth_1,135
ResponseHeader,0
Example,81
MediaTypeExtension,0
SchemaExample_Depth_2,11
SecurityScheme_In_header,2
MinLength_Depth_2,5
SchemaType_integer,7
OperationExtension,0
ResponsesExtension,0
MediaTypeExample,1
ResponseCode_401,1
XMLWrapped,1
SchemaType_object,49
Properties_Depth_1,165
Callback,0
RequiredSchema_Depth_2,11
SchemaExtension_Depth_2,0
Tag,0
MinLength_Depth_1,50
Responses,1
ResponseExtension,0
Encoding,0
PathParameter,0
XMLAttribute,74
SecurityScheme_Type_apiKey,2
Items_Depth_1,1
ComponentExtension,0
Operation,1
MediaTypeEncoding,0
Response,8
SchemaComponent,2
XMLSchema_Depth_1,65
PathServer,0
RequestBodyComponent,0
HeaderComponent,0
Server,1
OperationTag,1
RequestBody,1
RequestBodyContent,1
ResponseCode_400,1
ServerExtension,0
Path,1
XMLExtension,0
Enum_Depth_2,0
ParameterComponent,0
RequestBodyExtension,0
SchemaExtension_Depth_1,0
PathExtension,0
Schema_Depth_2,12
ExampleComponent,0
SecuritySchemeExtension,0
GlobalExtension,0
ResponseCode_500,1
Header,0
Link,0
ResponseComponent,7
