OpenAPI feature,Count
RequiredSchema_Depth_1,137
SchemaExtension_Depth_1,0
SecurityScheme_Type_apiKey,2
ResponseContent_application/pdf,1
ResponseCode_504,1
XMLExtension,0
OperationExtension,0
RequestBodyExtension,0
SchemaType_object,49
Example,83
ResponseLink,0
SchemaType_integer,7
RequestBodyComponent,0
SchemaComponent,2
ComponentExtension,0
GlobalExtension,0
RefSchema_Depth_1,1
MediaTypeExtension,0
ResponseExtension,0
PathServer,0
ResponseContent,15
ResponseCode_401,1
LinkComponent,0
ServerVariable,0
Tag,0
Path,1
Properties_Depth_1,167
ResponseHeader,0
Enum_Depth_2,0
Properties_Depth_2,11
GlobalWebhook,0
ServerExtension,0
Format_uuid_Depth_1,3
MediaTypeEncoding,0
Header,0
Items_Depth_1,1
Operation,1
Response,8
Callback,0
SchemaExample_Depth_1,71
Format_date-time_Depth_1,6
XMLAttribute,74
SchemaExtension_Depth_2,0
ExampleComponent,0
OperationTag,1
RequestBodyContent_application/json,1
Schema_Depth_1,184
PathExtension,0
XMLWrapped,1
Responses,1
Link,0
ResponseCode_200,1
MediaTypeExample,1
Component,11
XMLSchema_Depth_2,12
ResponsesExtension,0
XMLSchema_Depth_1,65
SchemaType_array,1
ParameterComponent,0
HeaderComponent,0
RequiredSchema_Depth_2,11
Path_Post,1
RequestBodyContent,1
ResponseCode_502,1
ResponseCode_400,1
ResponseCode_500,1
OperationParameter,0
MinLength_Depth_2,5
ResponseComponent,7
SecuritySchemeComponent,2
CallbackComponent,0
Encoding,0
ResponseContent_application/json,14
Schema_Depth_2,12
SchemaExample_Depth_2,11
SecurityScheme_In_header,2
RequestBody,1
Enum_Depth_1,53
MinLength_Depth_1,50
SchemaType_number,4
ResponseCode_503,1
Server,1
SchemaType_string,133
ResponseCode_404,1
PathParameter,0
SecuritySchemeExtension,0
