OpenAPI feature,Count
Path_Post,5
Operation,5
MediaTypeExample,5
SchemaType_integer,20
RequestBodyComponent,0
RequestBodyContent_application/json,5
ServerVariable,0
SchemaType_number,12
ResponsesExtension,0
Callback,0
OperationExtension,0
Encoding,0
ResponseContent,50
ResponseCode_503,5
MinLength_Depth_1,200
Responses,5
ResponseCode_404,5
MinLength_Depth_2,10
XMLSchema_Depth_2,24
LinkComponent,0
RequestBodyExtension,0
Enum_Depth_2,0
SchemaExtension_Depth_2,0
SchemaComponent,4
CallbackComponent,0
ComponentExtension,0
SchemaType_string,567
Example,395
MediaTypeEncoding,0
Link,0
ResponseCode_200,5
XMLSchema_Depth_1,378
ParameterComponent,0
ServerExtension,0
OperationParameter,0
RequiredSchema_Depth_1,595
SchemaExample_Depth_2,22
SecurityScheme_Type_apiKey,2
SecuritySchemeExtension,0
ResponseContent_application/xml,3
SchemaType_array,2
OperationTag,5
SchemaExtension_Depth_1,0
Format_uuid_Depth_1,11
Format_date-time_Depth_1,18
Response,40
ResponseCode_401,5
ResponseContent_application/json,42
RequiredSchema_Depth_2,22
HeaderComponent,0
Tag,0
Properties_Depth_1,729
ResponseCode_500,5
ResponseContent_application/pdf,5
PathExtension,0
XMLAttribute,392
ResponseComponent,7
SecuritySchemeComponent,2
SecurityScheme_In_header,2
ResponseLink,0
ResponseCode_504,5
XMLWrapped,2
Path,5
GlobalWebhook,0
RequestBody,5
SchemaType_object,200
SchemaExample_Depth_1,368
RefSchema_Depth_1,8
MediaTypeExtension,0
ResponseCode_400,5
PathParameter,0
Component,13
ExampleComponent,0
GlobalExtension,0
ResponseHeader,0
ResponseCode_502,5
Server,1
RequestBodyContent,5
Enum_Depth_1,164
Header,0
ResponseExtension,0
PathServer,0
XMLExtension,0
Items_Depth_1,2
Properties_Depth_2,22
