OpenAPI feature,Count
ResponseExtension,0
Link,0
PathParameter,0
SecuritySchemeExtension,0
RequestBodyContent_application/json,2
SchemaType_string,391
ResponseHeader,0
PathServer,0
LinkComponent,0
OperationParameter,0
MinLength_Depth_1,136
RefSchema_Depth_1,4
Header,0
Callback,0
PathExtension,0
Items_Depth_1,1
SecurityScheme_Type_apiKey,2
Server,1
OperationTag,2
CallbackComponent,0
Responses,2
Response,16
ResponsesExtension,0
ResponseContent_application/xml,2
ResponseContent_application/pdf,2
XMLWrapped,1
Path_Post,2
Properties_Depth_1,503
SchemaExtension_Depth_2,0
ParameterComponent,0
ExampleComponent,0
SecurityScheme_In_header,2
Path,2
ResponseContent,25
SchemaExample_Depth_2,11
OperationExtension,0
MediaTypeExample,2
ResponseCode_503,2
MediaTypeExtension,0
ResponseCode_500,2
SchemaComponent,4
Schema_Depth_2,12
Operation,2
RequestBody,2
Format_date-time_Depth_1,9
XMLSchema_Depth_2,12
RequestBodyComponent,0
HeaderComponent,0
Schema_Depth_1,532
SchemaExample_Depth_1,284
RequestBodyExtension,0
Encoding,0
Enum_Depth_1,82
MediaTypeEncoding,0
ResponseCode_404,2
ResponseCode_504,2
ServerVariable,0
ServerExtension,0
ResponseCode_400,2
XMLSchema_Depth_1,313
SchemaType_integer,13
SchemaType_array,1
Enum_Depth_2,0
ResponseComponent,7
GlobalWebhook,0
Format_uuid_Depth_1,5
ResponseCode_401,2
SchemaType_object,130
XMLExtension,0
Component,13
Properties_Depth_2,11
GlobalExtension,0
RequestBodyContent,2
ResponseLink,0
ResponseCode_502,2
ResponseCode_200,2
XMLAttribute,318
RequiredSchema_Depth_2,11
SecuritySchemeComponent,2
RequiredSchema_Depth_1,417
SchemaType_number,6
ComponentExtension,0
SchemaExtension_Depth_1,0
ResponseContent_application/json,21
MinLength_Depth_2,5
Tag,0
Example,297
