OpenAPI feature,Count
Responses,2
XMLExtension,0
PathExtension,0
RequiredSchema_Depth_2,11
Path,2
SchemaType_string,391
RequiredSchema_Depth_1,417
Format_uuid_Depth_1,5
ResponseCode_502,2
ResponseCode_503,2
ResponseContent_application/pdf,2
Callback,0
Tag,0
RequestBody,2
XMLWrapped,1
ExampleComponent,0
SchemaComponent,4
Items_Depth_1,1
Schema_Depth_2,12
OperationTag,2
ResponseContent,25
SchemaExample_Depth_1,284
SecurityScheme_Type_apiKey,2
ResponseCode_404,2
PathServer,0
HeaderComponent,0
ServerExtension,0
SchemaType_number,6
ResponseLink,0
ResponseCode_401,2
SecuritySchemeExtension,0
MediaTypeEncoding,0
ResponsesExtension,0
Header,0
ResponseContent_application/xml,2
PathParameter,0
XMLSchema_Depth_2,12
ResponseComponent,7
ComponentExtension,0
RequestBodyContent_application/json,2
Enum_Depth_1,82
Enum_Depth_2,0
RequestBodyComponent,0
OperationExtension,0
MediaTypeExample,2
ResponseCode_400,2
ResponseCode_200,2
Properties_Depth_2,11
SchemaExtension_Depth_2,0
RequestBodyExtension,0
MediaTypeExtension,0
Response,16
ResponseHeader,0
ResponseContent_application/json,21
XMLAttribute,318
ResponseCode_504,2
SchemaType_array,1
ServerVariable,0
Schema_Depth_1,532
MinLength_Depth_2,5
CallbackComponent,0
Encoding,0
Link,0
Component,13
Operation,2
SchemaType_object,130
ParameterComponent,0
Example,297
SchemaExtension_Depth_1,0
MinLength_Depth_1,136
XMLSchema_Depth_1,313
SecuritySchemeComponent,2
LinkComponent,0
Server,1
Properties_Depth_1,503
SchemaExample_Depth_2,11
Format_date-time_Depth_1,9
ResponseExtension,0
Path_Post,2
SecurityScheme_In_header,2
RequestBodyContent,2
RefSchema_Depth_1,4
ResponseCode_500,2
SchemaType_integer,13
GlobalWebhook,0
GlobalExtension,0
OperationParameter,0
