OpenAPI feature,Count
ParameterComponent,0
Tag,0
Path,2
SchemaExtension_Depth_1,0
Response,16
XMLSchema_Depth_1,313
ResponseCode_502,2
ResponseCode_401,2
CallbackComponent,0
Server,1
RequestBodyContent,2
Properties_Depth_1,503
ResponseContent,25
Callback,0
XMLWrapped,1
Properties_Depth_2,11
OperationExtension,0
OperationTag,2
ResponseCode_504,2
SecurityScheme_In_header,2
Encoding,0
ResponseHeader,0
PathServer,0
SchemaType_array,1
XMLSchema_Depth_2,12
ResponsesExtension,0
ResponseCode_400,2
SchemaExtension_Depth_2,0
SecurityScheme_Type_apiKey,2
SchemaType_object,130
Example,297
ResponseLink,0
ResponseContent_application/json,21
ExampleComponent,0
ComponentExtension,0
GlobalWebhook,0
MinLength_Depth_1,136
SchemaType_number,6
ResponseCode_200,2
ResponseContent_application/pdf,2
Link,0
ResponseCode_503,2
RequiredSchema_Depth_2,11
OperationParameter,0
MediaTypeExtension,0
SchemaType_integer,13
ResponseExtension,0
ResponseCode_404,2
SecuritySchemeExtension,0
ServerVariable,0
ServerExtension,0
RequiredSchema_Depth_1,417
MediaTypeExample,2
Items_Depth_1,1
ResponseComponent,7
SecuritySchemeComponent,2
Operation,2
Enum_Depth_1,82
SchemaType_string,391
Header,0
PathParameter,0
RequestBodyComponent,0
Format_date-time_Depth_1,9
ResponseContent_application/xml,2
HeaderComponent,0
Path_Post,2
RequestBody,2
Format_uuid_Depth_1,5
MediaTypeEncoding,0
RequestBodyContent_application/json,2
Responses,2
XMLExtension,0
XMLAttribute,318
ResponseCode_500,2
SchemaExample_Depth_1,284
Component,13
MinLength_Depth_2,5
LinkComponent,0
GlobalExtension,0
RequestBodyExtension,0
RefSchema_Depth_1,4
PathExtension,0
SchemaComponent,4
Enum_Depth_2,0
SchemaExample_Depth_2,11
