OpenAPI feature,Count
SchemaType_object,130
SchemaExample_Depth_1,284
MinLength_Depth_1,136
ServerVariable,0
SchemaExtension_Depth_1,0
SchemaExample_Depth_2,11
ServerExtension,0
ResponseCode_502,2
SchemaExtension_Depth_2,0
Path_Post,2
RequestBodyExtension,0
RequiredSchema_Depth_1,417
Items_Depth_1,1
Enum_Depth_2,0
SecuritySchemeExtension,0
GlobalExtension,0
ComponentExtension,0
GlobalWebhook,0
XMLExtension,0
MinLength_Depth_2,5
CallbackComponent,0
ResponseContent_application/pdf,2
PathParameter,0
Server,1
RequestBodyContent,2
RefSchema_Depth_1,4
Format_date-time_Depth_1,9
ResponseCode_503,2
ResponseCode_200,2
OperationParameter,0
Example,297
MediaTypeExtension,0
ResponseHeader,0
ResponseContent,25
Format_uuid_Depth_1,5
Responses,2
ResponsesExtension,0
XMLSchema_Depth_1,313
SchemaType_array,1
ResponseComponent,7
MediaTypeEncoding,0
HeaderComponent,0
SecurityScheme_Type_apiKey,2
LinkComponent,0
OperationExtension,0
RequestBodyContent_application/json,2
ResponseExtension,0
ResponseCode_404,2
PathServer,0
ExampleComponent,0
ParameterComponent,0
RequestBodyComponent,0
Tag,0
Path,2
ResponseCode_504,2
SchemaComponent,4
XMLWrapped,1
Properties_Depth_2,11
RequiredSchema_Depth_2,11
SecurityScheme_In_header,2
OperationTag,2
SchemaType_string,391
Header,0
XMLAttribute,318
SchemaType_integer,13
Callback,0
Schema_Depth_2,12
SecuritySchemeComponent,2
RequestBody,2
Enum_Depth_1,82
Properties_Depth_1,503
SchemaType_number,6
ResponseCode_401,2
PathExtension,0
Encoding,0
Response,16
ResponseLink,0
Link,0
ResponseCode_500,2
Component,13
XMLSchema_Depth_2,12
Operation,2
Schema_Depth_1,532
ResponseContent_application/json,21
MediaTypeExample,2
ResponseContent_application/xml,2
ResponseCode_400,2
