OpenAPI feature,Count
Format_uuid_Depth_1,5
ResponseCode_502,2
XMLSchema_Depth_1,313
Server,1
Path_Post,2
RequestBody,2
Encoding,0
SchemaExtension_Depth_1,0
RequiredSchema_Depth_2,11
SchemaType_object,130
ResponseExtension,0
ResponseCode_200,2
ResponseContent_application/pdf,2
Path,2
SchemaType_string,391
ResponseHeader,0
Items_Depth_1,1
LinkComponent,0
HeaderComponent,0
SecuritySchemeComponent,2
RequiredSchema_Depth_1,417
Properties_Depth_1,503
MinLength_Depth_1,136
SchemaType_array,1
SchemaExtension_Depth_2,0
Schema_Depth_1,532
ResponseComponent,7
RequestBodyComponent,0
ComponentExtension,0
SchemaExample_Depth_1,284
ResponseContent_application/xml,2
SchemaType_integer,13
Schema_Depth_2,12
SecuritySchemeExtension,0
ServerVariable,0
Operation,2
MediaTypeExample,2
Component,13
SchemaComponent,4
GlobalExtension,0
ResponseContent_application/json,21
PathServer,0
Enum_Depth_2,0
ExampleComponent,0
GlobalWebhook,0
RequestBodyContent,2
Example,297
MediaTypeEncoding,0
ResponseCode_500,2
ResponseCode_400,2
ResponseContent,25
XMLWrapped,1
OperationParameter,0
Enum_Depth_1,82
Format_date-time_Depth_1,9
MediaTypeExtension,0
Response,16
ResponseCode_401,2
ResponseCode_504,2
Properties_Depth_2,11
XMLSchema_Depth_2,12
RequestBodyContent_application/json,2
Responses,2
SecurityScheme_In_header,2
CallbackComponent,0
ResponseCode_503,2
OperationExtension,0
RequestBodyExtension,0
ResponseCode_404,2
ResponseLink,0
XMLAttribute,318
MinLength_Depth_2,5
ParameterComponent,0
Tag,0
Header,0
PathParameter,0
PathExtension,0
SchemaExample_Depth_2,11
Link,0
XMLExtension,0
Callback,0
ServerExtension,0
OperationTag,2
RefSchema_Depth_1,4
SchemaType_number,6
ResponsesExtension,0
SecurityScheme_Type_apiKey,2
