OpenAPI feature,Count
SchemaType_string,391
RefSchema_Depth_1,4
Responses,2
ResponseCode_503,2
SecurityScheme_In_header,2
OperationExtension,0
OperationParameter,0
RequestBody,2
MediaTypeExample,2
ResponseCode_400,2
RequestBodyContent_application/json,2
Format_date-time_Depth_1,9
Link,0
Server,1
ResponseContent_application/pdf,2
ComponentExtension,0
Path,2
Response,16
XMLWrapped,1
Callback,0
HeaderComponent,0
SecuritySchemeExtension,0
Header,0
ResponseCode_200,2
XMLExtension,0
ResponseCode_502,2
ExampleComponent,0
RequiredSchema_Depth_1,417
MinLength_Depth_1,136
MediaTypeExtension,0
SchemaExtension_Depth_1,0
Component,13
SchemaExample_Depth_2,11
ParameterComponent,0
GlobalExtension,0
Path_Post,2
Encoding,0
ResponseContent_application/xml,2
XMLSchema_Depth_1,313
Items_Depth_1,1
LinkComponent,0
ResponseHeader,0
ResponseContent,25
ResponseContent_application/json,21
MediaTypeEncoding,0
ResponsesExtension,0
ResponseLink,0
SchemaType_integer,13
SchemaComponent,4
ServerVariable,0
OperationTag,2
SchemaType_object,130
MinLength_Depth_2,5
SecuritySchemeComponent,2
RequestBodyContent,2
GlobalWebhook,0
SecurityScheme_Type_apiKey,2
Enum_Depth_1,82
ResponseCode_504,2
SchemaExtension_Depth_2,0
Properties_Depth_1,503
ResponseComponent,7
XMLAttribute,318
ResponseCode_404,2
SchemaType_array,1
Properties_Depth_2,11
ServerExtension,0
RequestBodyExtension,0
SchemaExample_Depth_1,284
PathParameter,0
PathExtension,0
Enum_Depth_2,0
Tag,0
ResponseCode_401,2
PathServer,0
ResponseExtension,0
ResponseCode_500,2
Operation,2
Example,297
SchemaType_number,6
RequestBodyComponent,0
CallbackComponent,0
Format_uuid_Depth_1,5
RequiredSchema_Depth_2,11
XMLSchema_Depth_2,12
