OpenAPI feature,Count
HeaderComponent,0
SecuritySchemeComponent,2
SecuritySchemeExtension,0
RequestBody,2
ResponseContent,25
ResponseExtension,0
XMLAttribute,318
RequiredSchema_Depth_2,11
Operation,2
SchemaExtension_Depth_1,0
ResponseCode_400,2
Properties_Depth_2,11
RequestBodyContent,2
Schema_Depth_1,532
Responses,2
MediaTypeExample,2
PathParameter,0
ResponseContent_application/pdf,2
ResponseCode_200,2
Callback,0
PathServer,0
SchemaType_object,130
Enum_Depth_1,82
SchemaType_string,391
Example,297
Format_uuid_Depth_1,5
RequestBodyComponent,0
SecurityScheme_Type_apiKey,2
PathExtension,0
SchemaComponent,4
SchemaType_array,1
Server,1
Tag,0
RequestBodyContent_application/json,2
SchemaExample_Depth_1,284
Format_date-time_Depth_1,9
LinkComponent,0
CallbackComponent,0
Encoding,0
Items_Depth_1,1
Schema_Depth_2,12
SchemaExtension_Depth_2,0
ServerExtension,0
MinLength_Depth_1,136
ResponseCode_401,2
ResponseHeader,0
ResponseLink,0
XMLSchema_Depth_1,313
ResponseCode_502,2
ResponseCode_503,2
GlobalExtension,0
Path,2
RefSchema_Depth_1,4
Response,16
ResponseContent_application/json,21
XMLWrapped,1
Enum_Depth_2,0
ExampleComponent,0
SecurityScheme_In_header,2
GlobalWebhook,0
OperationParameter,0
MediaTypeExtension,0
MediaTypeEncoding,0
XMLSchema_Depth_2,12
RequestBodyExtension,0
RequiredSchema_Depth_1,417
MinLength_Depth_2,5
ResponseComponent,7
SchemaType_integer,13
Component,13
ComponentExtension,0
Path_Post,2
OperationTag,2
SchemaType_number,6
ResponseContent_application/xml,2
XMLExtension,0
Properties_Depth_1,503
ServerVariable,0
SchemaExample_Depth_2,11
ResponsesExtension,0
ResponseCode_404,2
ParameterComponent,0
OperationExtension,0
Header,0
Link,0
ResponseCode_500,2
ResponseCode_504,2
