OpenAPI feature,Count
ResponseExtension,0
SchemaExample_Depth_2,11
RequestBodyContent_application/json,2
ResponseHeader,0
Tag,0
ExampleComponent,0
RequiredSchema_Depth_1,417
ResponseContent_application/xml,2
Enum_Depth_2,0
GlobalWebhook,0
Path,2
Schema_Depth_1,532
ResponseContent,25
SchemaType_integer,13
MinLength_Depth_2,5
CallbackComponent,0
GlobalExtension,0
OperationExtension,0
ResponseCode_502,2
ResponseCode_404,2
ResponseCode_200,2
MediaTypeExample,2
PathServer,0
Header,0
ResponseContent_application/json,21
ResponseCode_504,2
Schema_Depth_2,12
SecuritySchemeExtension,0
RequestBodyExtension,0
ResponseCode_503,2
XMLExtension,0
Items_Depth_1,1
SecurityScheme_In_header,2
ServerVariable,0
XMLAttribute,318
ResponseContent_application/pdf,2
Component,13
Properties_Depth_2,11
ResponseComponent,7
Enum_Depth_1,82
ResponseCode_400,2
SchemaExample_Depth_1,284
Format_date-time_Depth_1,9
ResponseCode_500,2
XMLWrapped,1
Server,1
OperationTag,2
SchemaType_string,391
Example,297
RefSchema_Depth_1,4
Link,0
SchemaType_array,1
Operation,2
OperationParameter,0
Encoding,0
SchemaType_number,6
MediaTypeExtension,0
XMLSchema_Depth_1,313
RequestBodyComponent,0
SecurityScheme_Type_apiKey,2
RequestBodyContent,2
SchemaType_object,130
ResponseLink,0
HeaderComponent,0
SecuritySchemeComponent,2
ServerExtension,0
MediaTypeEncoding,0
PathExtension,0
RequiredSchema_Depth_2,11
SchemaExtension_Depth_2,0
SchemaExtension_Depth_1,0
MinLength_Depth_1,136
ResponseCode_401,2
PathParameter,0
SchemaComponent,4
ParameterComponent,0
LinkComponent,0
RequestBody,2
Response,16
Format_uuid_Depth_1,5
Responses,2
ResponsesExtension,0
Callback,0
XMLSchema_Depth_2,12
ComponentExtension,0
Path_Post,2
Properties_Depth_1,503
