OpenAPI feature,Count
ResponseCode_404,2
ResponseComponent,7
RequestBodyComponent,0
ComponentExtension,0
SchemaType_object,130
ResponseContent_application/xml,2
ResponseContent,25
ResponseCode_200,2
SchemaExample_Depth_2,11
Path,2
ResponseCode_502,2
SchemaComponent,4
Properties_Depth_2,11
RequestBodyContent,2
PathServer,0
ResponseCode_503,2
ResponseCode_400,2
ResponseCode_401,2
Callback,0
PathParameter,0
PathExtension,0
OperationParameter,0
SchemaType_integer,13
Link,0
MediaTypeExample,2
RequiredSchema_Depth_1,417
SchemaExtension_Depth_1,0
XMLAttribute,318
SchemaType_array,1
SchemaExtension_Depth_2,0
RequestBody,2
Responses,2
XMLSchema_Depth_1,313
XMLSchema_Depth_2,12
Server,1
MediaTypeExtension,0
ResponseContent_application/json,21
Items_Depth_1,1
ExampleComponent,0
LinkComponent,0
GlobalWebhook,0
Encoding,0
Properties_Depth_1,503
Header,0
SecurityScheme_Type_apiKey,2
RequestBodyContent_application/json,2
Format_uuid_Depth_1,5
SecuritySchemeExtension,0
Path_Post,2
ResponseCode_500,2
SchemaType_number,6
Response,16
SecurityScheme_In_header,2
ServerVariable,0
SchemaType_string,391
RefSchema_Depth_1,4
Component,13
Operation,2
Example,297
MediaTypeEncoding,0
ResponsesExtension,0
ResponseContent_application/pdf,2
ResponseCode_504,2
RequiredSchema_Depth_2,11
SecuritySchemeComponent,2
OperationExtension,0
Enum_Depth_1,82
MinLength_Depth_1,136
Format_date-time_Depth_1,9
ResponseHeader,0
XMLExtension,0
MinLength_Depth_2,5
GlobalExtension,0
Tag,0
HeaderComponent,0
CallbackComponent,0
ServerExtension,0
ParameterComponent,0
SchemaExample_Depth_1,284
ResponseExtension,0
ResponseLink,0
XMLWrapped,1
Enum_Depth_2,0
OperationTag,2
RequestBodyExtension,0
