OpenAPI feature,Count
ResponseExtension,0
ResponseCode_404,2
Items_Depth_1,1
SecurityScheme_Type_apiKey,2
Format_uuid_Depth_1,5
Responses,2
RefSchema_Depth_1,2
SchemaType_number,6
ResponseCode_400,2
PathServer,0
ComponentExtension,0
RequiredSchema_Depth_1,167
Properties_Depth_1,213
PathExtension,0
SchemaExample_Depth_2,11
SchemaType_integer,7
SecuritySchemeExtension,0
ResponsesExtension,0
PathParameter,0
Properties_Depth_2,11
SchemaExtension_Depth_2,0
RequestBodyContent,2
Enum_Depth_2,0
Format_date-time_Depth_1,9
Callback,0
Component,11
OperationTag,2
RequestBodyExtension,0
SchemaType_string,165
ResponseCode_401,2
ResponseComponent,7
ParameterComponent,0
ServerVariable,0
RequestBodyContent_application/json,2
MediaTypeExample,2
RequiredSchema_Depth_2,11
HeaderComponent,0
Encoding,0
Example,87
ResponseCode_503,2
ResponseCode_504,2
XMLSchema_Depth_1,65
XMLWrapped,1
GlobalExtension,0
Link,0
ResponseHeader,0
MediaTypeExtension,0
ResponseCode_500,2
Enum_Depth_1,80
ResponseContent_application/json,21
ResponseLink,0
SchemaComponent,2
Tag,0
SchemaType_object,68
Response,16
ResponseCode_200,2
SecuritySchemeComponent,2
ServerExtension,0
Operation,2
Header,0
XMLExtension,0
SecurityScheme_In_header,2
GlobalWebhook,0
RequestBody,2
MinLength_Depth_1,64
SchemaExample_Depth_1,74
MediaTypeEncoding,0
ResponseCode_502,2
XMLAttribute,74
Server,1
OperationExtension,0
ResponseContent,23
ExampleComponent,0
LinkComponent,0
OperationParameter,0
SchemaExtension_Depth_1,0
Path,2
MinLength_Depth_2,5
SchemaType_array,1
XMLSchema_Depth_2,12
RequestBodyComponent,0
CallbackComponent,0
Path_Post,2
ResponseContent_application/pdf,2
