OpenAPI feature,Count
Server,1
ResponseContent,7
ResponseCode_400,6
ResponseComponent,0
CallbackComponent,0
Link,0
PathExtension,0
query_Parameter,10
RequiredParameter,2
ResponseExtension,13
SchemaType_object,122
ResponseCode_204,3
Enum_Depth_4,0
Format_int32_Depth_2,2
ResponseCode_500,7
Items_Depth_3,2
SecurityScheme_Type_oauth2,1
Operation,7
OperationParameter,12
ResponseCode_404,2
ResponseContent_application/json,7
Items_Depth_1,13
SchemaComponent,20
RequestBodyComponent,0
SchemaType_string,520
ResponsesExtension,0
Items_Depth_2,5
SchemaExtension_Depth_3,0
ParameterComponent,0
OAuthFlow,1
GlobalWebhook,0
OperationTag,7
Response,25
SchemaType_array,20
Properties_Depth_3,28
SecuritySchemeExtension,0
GlobalExtension,0
Path,7
Properties_Depth_1,437
SchemaExtension_Depth_1,0
ResponseCode_200,7
RefSchema_Depth_4,4
Enum_Depth_1,0
PathParameter,0
Example,0
ResponseHeader,0
SchemaExtension_Depth_2,0
SecuritySchemeComponent,1
ServerExtension,0
OperationExtension,0
ParameterExtension,0
ResponseLink,0
MediaTypeEncoding,0
Callback,0
Properties_Depth_4,16
SchemaExtension_Depth_4,0
LinkComponent,0
Responses,7
ExampleComponent,0
OAuthFlowsExtension,0
ComponentExtension,0
ServerVariable,1
Tag,0
Path_Get,7
SchemaType_integer,39
MediaTypeExtension,0
RefSchema_Depth_2,28
HeaderComponent,0
Encoding,0
Header,0
RefSchema_Depth_1,62
Format_int32_Depth_1,37
Properties_Depth_2,161
RefSchema_Depth_3,8
Enum_Depth_3,0
OAuthFlowAuthorizationUrl,1
OauthFlowTokenUrl,1
OAuthFlowScopes,1
path_Parameter,2
PathServer,0
Enum_Depth_2,0
Component,21
OAuthFlowExtension,0
