OpenAPI feature,Count
ResponseLink,0
Format_date_Depth_1,17
SchemaType_boolean,176
Items_Depth_3,3
Enum_Depth_4,63
SchemaExtension_Depth_4,0
Callback,0
ResponseComponent,0
SchemaType_string,1226
MaxLength_Depth_3,52
RequiredHeader,3
MinLength_Depth_1,70
Pattern_Depth_1,77
MaxItems_Depth_2,7
Component,87
ExampleComponent,0
Path_Post,5
RequestBodyExtension,0
RequiredSchema_Depth_2,242
SchemaType_integer,300
ReadOnlySchema_Depth_4,6
PathServer,0
NullableSchema_Depth_1,75
Tag,3
Discriminator_Depth_2,49
SchemaExtension_Depth_3,13
Format_int32_Depth_2,48
ResponseContent_application/json,5
LinkComponent,0
Minimum_Depth_1,41
Format_date_Depth_2,6
Format_float_Depth_2,19
Link,0
RequestBodyComponent,0
GlobalExtension,1
Server,1
RefSchema_Depth_3,40
MediaTypeExtension,0
ResponseHeader,3
Format_uint64_Depth_1,3
ResponseContent_application/jose,1
MinItems_Depth_2,7
MinItems_Depth_1,6
Maximum_Depth_2,8
SchemaExample_Depth_2,47
Pattern_Depth_2,19
Header,3
ResponseCode_204,2
ReadOnlySchema_Depth_2,42
Properties_Depth_1,1450
MediaTypeEncoding,0
ResponsesExtension,0
RefSchema_Depth_4,6
ResponseCode_401,2
GlobalWebhook,0
RequiredParameter,23
MaxItems_Depth_1,11
Schema_Depth_1,1760
Properties_Depth_3,100
Format_int32_Depth_1,144
Operation,6
Items_Depth_1,55
RefSchema_Depth_2,263
Format_double_Depth_2,4
OneOf_Depth_2,9
RefSchema_Depth_1,439
Format_double_Depth_1,16
HeaderStyle_,6
AllOf_Depth_2,38
PathParameter,0
Maximum_Depth_1,17
Format_date-time_Depth_1,93
TagExtension,0
Encoding,0
RequestBodyContent,5
Items_Depth_2,26
SchemaExample_Depth_1,111
SchemaComponent,87
RequestBody,5
RequiredSchema_Depth_1,438
Format_uri_Depth_1,32
CallbackComponent,0
OperationParameter,30
ParameterExtension,0
Enum_Depth_3,336
ResponseCode_200,6
Format_uint64_Depth_2,8
OneOf_Depth_1,20
ServerVariable,0
Format_date-time_Depth_2,44
MinLength_Depth_2,13
MaxLength_Depth_4,9
HeaderComponent,0
SchemaExtension_Depth_1,72
Schema_Depth_2,899
Response,14
Schema_Depth_4,15
RequiredSchema_Depth_4,6
Discriminator_Depth_1,91
SecuritySchemeComponent,0
OperationTag,6
header_Parameter,30
AllOf_Depth_3,3
HeaderExtension,0
Path,6
SchemaType_array,84
MaxLength_Depth_2,142
ResponseCode_404,1
Minimum_Depth_2,18
ResponseExtension,0
ResponseCode_410,2
Format_float_Depth_1,37
NullableSchema_Depth_2,23
ReadOnlySchema_Depth_3,30
PathExtension,0
HeaderContent,0
AllOf_Depth_1,78
Discriminator_Depth_3,4
HeaderExample,2
ServerExtension,0
Enum_Depth_2,767
Properties_Depth_4,12
ReadOnlySchema_Depth_1,14
OperationExtension,0
MaxLength_Depth_1,233
Responses,6
Format_uri_Depth_2,16
AdditionalProperties_Depth_1,5
Format_int64_Depth_1,20
Path_Get,1
Example,160
Properties_Depth_2,755
RequiredSchema_Depth_3,43
ResponseContent,6
SchemaType_number,86
SchemaType_object,897
Format_uint32_Depth_2,25
MinItems_Depth_3,3
ParameterComponent,0
RequestBodyContent_application/json,5
Schema_Depth_3,129
ResponseCode_304,1
ComponentExtension,0
HeaderMultipleExamples,0
Enum_Depth_1,886
Format_uint32_Depth_1,56
SchemaExtension_Depth_2,46
Format_int64_Depth_2,6
