OpenAPI feature,Count
Enum_Depth_1,0
Format_int32_Depth_1,124
Path_Patch,7
RequestBodyContent_multipart/form-data,1
HeaderComponent,0
Properties_Depth_4,0
Tag,10
Path_Get,32
Callback,0
ResponseCode_201,11
RequiredSchema_Depth_3,8
ExampleComponent,0
SecurityScheme_Type_apiKey,3
GlobalWebhook,0
RefSchema_Depth_1,43
path_Parameter,35
AdditionalPropertiesAllowed_Depth_1,6
ResponseCode_204,7
Items_Depth_3,8
Format_url_Depth_1,4
ResponseComponent,0
ParameterComponent,0
Encoding,0
Header,0
ResponseContent,43
ResponseExtension,0
SchemaType_boolean,26
ServerExtension,0
RequestBody,20
Format_float_Depth_1,5
RequiredSchema_Depth_2,207
RequiredParameter,38
CallbackComponent,0
ServerVariable,0
OperationExtension,61
SchemaType_string,543
SchemaType_integer,146
SchemaType_object,169
Format_float_Depth_2,4
RefSchema_Depth_3,4
ResponseContent_application/json,43
Format_int32_Depth_2,22
MediaTypeExtension,0
RequestBodyExtension,0
Path_Put,4
GlobalExternalDoc,1
query_Parameter,59
SchemaExtension_Depth_1,508
AdditionalPropertiesAllowed_Depth_2,9
SchemaExtension_Depth_3,8
SchemaExtension_Depth_4,0
Operation,61
Properties_Depth_1,465
Example,0
SecurityScheme_In_header,3
SchemaExtension_Depth_2,207
RequestBodyContent_application/json,19
PathServer,0
Server,1
ResponsesExtension,0
ResponseHeader,0
RefSchema_Depth_2,43
Enum_Depth_2,0
Properties_Depth_3,8
RequestBodyComponent,0
RequiredSchema_Depth_1,451
ResponseLink,0
Link,0
SchemaType_number,9
ExternalDocExtension,0
GlobalExtension,0
Items_Depth_1,64
MediaTypeEncoding,0
RequestBodyContent,20
Enum_Depth_4,0
ResponseCode_301,1
LinkComponent,0
TagExtension,0
OperationTag,61
Responses,61
ResponseCode_200,42
Path_Delete,7
Path_Post,11
PathParameter,0
Items_Depth_2,27
Path,41
OperationParameter,94
ParameterExtension,0
SchemaType_array,78
Properties_Depth_2,207
Enum_Depth_3,0
Component,38
SecuritySchemeComponent,3
Response,61
PathExtension,0
SchemaComponent,35
SecuritySchemeExtension,2
ComponentExtension,0
