OpenAPI feature,Count
OperationParameter,3
Example,6
ResponseCode_200,2
SchemaComponent,1
ServerExtension,0
PathExtension,0
RequiredSchema_Depth_1,3
ComponentExtension,0
ParameterExtension,0
Items_Depth_1,2
PathParameter,0
ParameterComponent,0
Schema_Depth_1,9
RequiredSchema_Depth_2,6
ResponseLink,0
Schema_Depth_2,8
MediaTypeEncoding,0
Component,1
RequiredParameter,3
Enum_Depth_2,0
SchemaExample_Depth_2,4
OperationExtension,0
Path_Get,2
ResponsesExtension,0
ResponseCode_401,2
Header,0
ResponseExtension,0
ResponseComponent,0
Server,1
Callback,0
SchemaExample_Depth_1,2
Properties_Depth_2,6
ResponseContent_*/*,1
Properties_Depth_1,3
SchemaExtension_Depth_1,0
RefSchema_Depth_2,2
Operation,2
Link,0
ServerVariable,0
ExampleComponent,0
GlobalExtension,0
Path,2
Enum_Depth_1,0
SchemaType_object,6
ResponseCode_403,2
ResponseCode_422,2
path_Parameter,1
SecuritySchemeComponent,0
Tag,2
SchemaType_array,2
SchemaExtension_Depth_2,0
SchemaType_integer,3
ParameterStyle_simple,1
ResponseContent_application/json,1
HeaderComponent,0
CallbackComponent,0
OperationTag,2
GlobalWebhook,0
query_Parameter,2
ExplodeParameter,2
ResponseHeader,0
RequestBodyComponent,0
LinkComponent,0
TagExtension,0
SchemaType_string,6
Encoding,0
Responses,2
Response,8
ResponseContent,2
MediaTypeExtension,0
PathServer,0
ParameterStyle_form,2
