OpenAPI feature,Count
ResponseHeader,0
SchemaType_string,460
query_Parameter,31
Properties_Depth_4,0
Operation,26
Encoding,0
RefSchema_Depth_2,55
Path_Post,6
RequestBodyExtension,0
ResponseCode_201,4
Minimum_Depth_2,7
SchemaType_boolean,18
Tag,0
Component,41
ComponentExtension,0
Items_Depth_3,4
PathServer,0
PathParameter,74
Maximum_Depth_2,7
ParameterComponent,0
ExternalDocExtension,0
DefaultResponse,26
Server,1
ServerVariable,0
Properties_Depth_1,494
Enum_Depth_2,0
Example,0
ResponseExtension,0
RequiredSchema_Depth_2,124
GlobalExtension,0
RequestBodyContent_application/json,7
Enum_Depth_3,0
Properties_Depth_3,12
Format_int64_Depth_2,61
Properties_Depth_2,218
Link,0
SchemaType_object,252
Items_Depth_2,25
Format_float_Depth_1,6
SchemaExtension_Depth_4,0
ExampleComponent,0
Items_Depth_1,84
GlobalWebhook,0
RequestBodyComponent,2
Response,52
Enum_Depth_1,44
Format_int64_Depth_1,71
ReadOnlySchema_Depth_2,23
Format_int32_Depth_1,4
CallbackComponent,0
OperationTag,26
OperationExtension,0
Responses,26
SchemaType_array,113
SchemaExtension_Depth_2,2
Format_int64_Depth_3,4
Path_Get,20
ResponseLink,0
RequiredParameter,75
SchemaType_number,6
Enum_Depth_4,0
ServerExtension,0
MediaTypeExtension,0
ReadOnlySchema_Depth_1,122
SchemaType_integer,188
OperationParameter,31
SecuritySchemeExtension,0
SecurityScheme_Type_apiKey,1
path_Parameter,74
SchemaComponent,38
SecurityScheme_In_header,1
Schema_Depth_1,696
Minimum_Depth_1,16
RefSchema_Depth_3,4
RequiredSchema_Depth_3,12
HeaderComponent,0
LinkComponent,0
ResponseContent,52
Header,0
Schema_Depth_2,302
RefSchema_Depth_1,60
Callback,0
RequestBodyContent,7
Path,25
Format_date-time_Depth_1,23
Format_date-time_Depth_2,23
ParameterStyle_form,1
GlobalExternalDoc,1
MediaTypeEncoding,0
ResponseContent_application/json,52
SchemaExtension_Depth_1,0
SchemaExtension_Depth_3,0
ResponsesExtension,0
ParameterExtension,0
PathExtension,0
RequiredSchema_Depth_1,156
RequestBody,7
Maximum_Depth_1,16
Schema_Depth_3,37
Schema_Depth_4,4
ResponseCode_200,22
SecuritySchemeComponent,1
GlobalSecurity,1
ResponseComponent,0
