OpenAPI feature,Count
ServerExtension,0
SchemaType_object,35
SchemaType_array,25
ExampleComponent,0
LinkComponent,0
Responses,10
Properties_Depth_2,33
header_Parameter,10
Schema_Depth_2,47
Component,7
SecuritySchemeComponent,0
CallbackComponent,0
Enum_Depth_1,0
MediaTypeEncoding,0
ResponseLink,0
SchemaExtension_Depth_2,0
Enum_Depth_3,0
Properties_Depth_3,0
RequestBodyExtension,0
Properties_Depth_1,40
ResponseCode_200,10
MediaTypeExtension,0
SchemaComponent,7
Path_Get,6
Response,20
ResponsesExtension,0
ResponseHeader,0
Header,0
RefSchema_Depth_2,11
ResponseComponent,0
query_Parameter,13
RequestBody,4
RequiredSchema_Depth_1,13
OperationTag,8
SchemaType_string,82
ResponseContent,20
ResponseExtension,0
PathParameter,0
PathExtension,0
ParameterComponent,0
Operation,10
Encoding,0
ResponseCode_422,10
Items_Depth_2,11
RequiredParameter,4
ComponentExtension,0
GlobalWebhook,0
GlobalExtension,0
RequiredSchema_Depth_2,33
HeaderComponent,0
ServerVariable,0
Tag,0
Schema_Depth_1,95
path_Parameter,1
OperationExtension,0
Example,0
RefSchema_Depth_1,15
ResponseContent_application/json,20
RequiredRequestBody,4
RequestBodyContent_application/json,4
Link,0
Items_Depth_1,14
Enum_Depth_2,0
SchemaExtension_Depth_3,0
Server,1
SchemaExtension_Depth_1,0
ParameterExtension,0
Schema_Depth_3,11
RequestBodyContent,4
PathServer,0
Path,6
OperationParameter,24
Callback,0
Path_Post,4
RequestBodyComponent,0
