OpenAPI feature,Count
Format_date_Depth_1,11
ResponseComponent,0
ParameterComponent,0
ExampleComponent,0
OperationExtension,0
Items_Depth_1,49
Properties_Depth_2,237
RequestBodyContent_application/x-www-form-urlencoded,17
ComponentExtension,0
OperationParameter,72
RequiredParameter,58
Format_string_Depth_1,63
Header,0
PathExtension,0
RequiredRequestBody,8
HeaderComponent,0
SchemaExtension_Depth_1,0
ResponseContent,106
ResponseExtension,0
Format_int32_Depth_1,61
SecurityScheme_Type_apiKey,1
Path_Get,31
ResponsesExtension,0
ResponseContent_application/json,106
RequestBodyComponent,0
SchemaExtension_Depth_2,0
SchemaType_boolean,30
ParameterExample,1
header_Parameter,1
ServerExtension,0
RequiredSchema_Depth_1,336
MediaTypeEncoding,0
Enum_Depth_2,0
RequestBodyContent,17
SchemaType_string,701
Properties_Depth_1,551
Responses,54
ResponseCode_200,54
query_Parameter,21
SecurityScheme_In_header,1
TagExtension,0
Path,54
MediaTypeExtension,0
PathServer,0
OneOf_Depth_1,1
DefaultResponse,54
Format_int32_Depth_2,4
RequestBodyExtension,0
RefSchema_Depth_1,17
SchemaType_array,105
RequestBody,17
Items_Depth_2,56
Properties_Depth_3,10
ServerVariable,0
ParameterExtension,0
ResponseLink,0
PathParameter,0
SchemaExtension_Depth_3,0
RequiredSchema_Depth_2,12
Tag,9
OperationTag,54
Link,0
path_Parameter,50
ResponseHeader,0
SchemaExample_Depth_1,41
Format_float_Depth_2,1
SchemaComponent,0
SecuritySchemeExtension,0
Example,42
Response,108
SchemaType_integer,85
Callback,0
SchemaType_number,26
RefSchema_Depth_2,8
GlobalWebhook,0
LinkComponent,0
CallbackComponent,0
Encoding,0
Format_date_Depth_2,7
Enum_Depth_3,0
Format_int64_Depth_1,4
Format_float_Depth_1,9
Path_Post,23
SchemaType_object,34
Component,1
GlobalExtension,0
Server,1
Operation,54
Enum_Depth_1,17
SecuritySchemeComponent,1
