OpenAPI feature,Count
ResponseCode_400,4
MediaTypeEncoding,0
Properties_Depth_3,3
Properties_Depth_4,0
ServerVariable,0
ServerExtension,0
ResponseHeader,0
ResponseComponent,0
SecurityScheme_In_header,1
SchemaExtension_Depth_4,0
RequestBodyContent,1
ResponseCode_403,4
ResponseCode_501,4
SchemaType_array,24
Properties_Depth_2,52
PathServer,0
PathParameter,0
ExternalDocExtension,0
Responses,4
SchemaExtension_Depth_3,0
GlobalExtension,0
ParameterExtension,0
Items_Depth_2,10
RequiredRequestBody,1
GlobalWebhook,0
Path,4
ResponseExtension,0
XMLSchema_Depth_2,6
Path_Post,1
SchemaComponent,7
Path_Get,3
Enum_Depth_1,0
SchemaExtension_Depth_1,0
Example,0
RefSchema_Depth_2,9
SchemaExtension_Depth_2,0
Encoding,0
Properties_Depth_1,70
XMLExtension,0
PathExtension,0
RefSchema_Depth_3,1
XMLSchema_Depth_1,4
ResponseLink,0
Items_Depth_1,11
Callback,0
ExampleComponent,0
CallbackComponent,0
SecuritySchemeExtension,0
OperationExtension,4
RequiredSchema_Depth_1,6
ResponsesExtension,0
Enum_Depth_4,0
RequestBody,1
SecurityScheme_Type_apiKey,1
Response,16
Link,0
Enum_Depth_2,0
ParameterComponent,0
HeaderComponent,0
RequestBodyExtension,0
SecuritySchemeComponent,1
OperationParameter,5
query_Parameter,5
Header,0
ResponseContent,4
RefSchema_Depth_1,1
Enum_Depth_3,0
LinkComponent,0
Server,1
OperationTag,4
SchemaType_object,25
Items_Depth_3,3
ResponseContent_application/json,4
RequestBodyContent_application/json,1
Component,8
ComponentExtension,0
GlobalExternalDoc,1
RequestBodyComponent,0
Tag,0
Operation,4
RequiredParameter,3
SchemaType_string,117
ResponseCode_200,4
MediaTypeExtension,0
