OpenAPI feature,Count
Link,0
Format_date-time_Depth_2,4
RequestBody,4
Component,18
OauthFlowTokenUrl,1
ResponseContent_application/json,18
MediaTypeEncoding,0
Items_Depth_3,1
Items_Depth_2,12
SecuritySchemeComponent,2
path_Parameter,17
Encoding,0
ResponsesExtension,0
AnyOf_Depth_3,1
Path_Put,3
SchemaComponent,16
OneOf_Depth_1,2
Schema_Depth_1,378
PathServer,0
Properties_Depth_4,0
SecurityScheme_In_header,1
SchemaType_string,672
ResponseContent,18
RequestBodyContent,4
ParameterComponent,0
OAuthFlowAuthorizationUrl,1
ResponseCode_401,10
RequiredRequestBody,1
OneOf_Depth_2,12
OAuthFlowsExtension,0
GlobalExtension,0
ServerVariable,0
RefSchema_Depth_3,11
MediaTypeExample,1
ExampleComponent,0
SecurityScheme_Type_oauth2,1
Response,40
PathExtension,0
SchemaExtension_Depth_3,0
ComponentExtension,0
ResponseHeader,2
Properties_Depth_3,64
Discriminator_Depth_3,1
ParameterStyle_form,1
SchemaType_array,49
Path_Post,1
Discriminator_Depth_2,6
Responses,14
Schema_Depth_4,1
RequestBodyContent_application/json,3
ResponseCode_500,1
ResponseCode_400,11
SchemaExample_Depth_3,24
Format_time-date_Depth_1,21
SecuritySchemeExtension,0
SchemaExample_Depth_2,174
SchemaType_number,46
Format_date-time_Depth_1,1
ResponseExtension,0
RequestBodyContent_text/csv,1
HeaderStyle_,4
LinkComponent,0
OperationParameter,21
PathParameter,0
HeaderExample,2
Format_time-date_Depth_2,5
SchemaType_integer,26
Properties_Depth_1,309
Header,2
Enum_Depth_3,9
HeaderContent,0
Enum_Depth_2,87
Properties_Depth_2,492
ReadOnlySchema_Depth_1,61
Path_Get,6
RequiredSchema_Depth_2,218
HeaderComponent,0
Tag,0
SchemaExtension_Depth_1,0
Schema_Depth_2,594
RequestBodyComponent,0
SecurityScheme_Type_apiKey,1
GlobalWebhook,0
Server,1
RefSchema_Depth_1,40
RequiredSchema_Depth_1,135
ResponseCode_200,14
Schema_Depth_3,87
Path_Delete,3
SchemaType_object,165
SchemaExample_Depth_1,134
HeaderMultipleExamples,0
RequiredParameter,18
RefSchema_Depth_2,92
OAuthFlow,1
SchemaType_boolean,71
CallbackComponent,0
ResponseCode_201,4
Path_Head,1
OAuthFlowScopes,3
ParameterExample,18
Example,353
OneOf_Depth_3,2
HeaderExtension,0
ResponseComponent,0
ServerExtension,0
MediaTypeExtension,0
RequestBodyExtension,0
Items_Depth_1,36
Callback,0
RequiredSchema_Depth_3,32
AnyOf_Depth_2,6
Path,7
OperationExtension,0
ParameterExtension,0
SchemaExtension_Depth_2,0
SchemaExtension_Depth_4,0
OAuthFlowExtension,0
Operation,14
Enum_Depth_1,53
ResponseLink,0
ReadOnlySchema_Depth_2,19
Enum_Depth_4,0
query_Parameter,4
