OpenAPI feature,Count
ResponseLink,0
ParameterExample,2
ParameterComponent,0
SecuritySchemeComponent,0
ResponseCode_200,26
Header,0
RequestBodyComponent,0
HeaderComponent,0
LinkComponent,0
Callback,0
header_Parameter,2
RequestBodyContent_application/x-www-form-urlencoded,25
SchemaType_string,135
PathExtension,0
ServerVariable,0
OperationExtension,0
PathParameter,0
Path_Post,6
RequestBody,26
RequiredSchema_Depth_1,145
MediaTypeEncoding,0
GlobalExtension,0
Encoding,0
RequestBodyExtension,0
MediaTypeExtension,0
Path,26
OperationTag,26
ResponsesExtension,0
ResponseExtension,0
MediaTypeExample,1
Component,2
OperationParameter,2
Enum_Depth_1,0
SchemaExtension_Depth_1,0
SchemaType_number,13
Properties_Depth_1,164
Response,26
Format_double_Depth_1,13
GlobalWebhook,0
Server,1
Path_Patch,20
Link,0
Format_int32_Depth_1,12
RequiredParameter,2
RefSchema_Depth_1,7
SchemaComponent,2
ExampleComponent,0
ServerExtension,0
ResponseHeader,0
CallbackComponent,0
RequestBodyContent,26
Example,135
RequestBodyContent_application/json,1
Operation,26
ParameterStyle_simple,2
ParameterExtension,0
ResponseComponent,0
Tag,0
Schema_Depth_1,194
PathServer,0
RequiredRequestBody,1
SchemaExample_Depth_1,132
Responses,26
SchemaType_integer,12
ComponentExtension,0
SchemaType_object,34
ResponseContent,0
