OpenAPI feature,Count
MinLength_Depth_3,6
Items_Depth_2,20
Pattern_Depth_1,4
Path,30
Encoding,0
RequestBodyContent,57
RequestBodyContent_application/*+json,18
ResponseCode_404,48
Enum_Depth_3,66
GlobalSecurity,1
Callback,0
SecuritySchemeExtension,0
TagExtension,0
Enum_Depth_1,464
ResponseContent_application/hal+json,43
MediaTypeEncoding,0
RequestBody,18
RequestBodyContent_text/json,18
RefSchema_Depth_3,31
SchemaExtension_Depth_1,0
SchemaType_array,169
Format_int64_Depth_2,74
NullableSchema_Depth_1,751
AllOf_Depth_1,2
MaxLength_Depth_2,44
query_Parameter,15
ServerExtension,0
ResponseContent,86
MediaTypeExtension,0
ResponseCode_204,10
Format_date-time_Depth_1,62
Path_Patch,3
Server,1
OperationExtension,0
ResponseCode_429,52
Header,0
Tag,13
ReadOnlySchema_Depth_1,305
header_Parameter,3
ExampleExtension,0
OperationParameter,81
RefSchema_Depth_2,236
LinkComponent,0
SecurityScheme_Scheme_basic,1
CallbackComponent,0
Operation,52
Example,44
Link,0
Format_uuid_Depth_3,14
OperationTag,52
ResponseCode_200,38
NullableSchema_Depth_2,434
RequestBodyContent_application/json-patch+json,3
PathServer,0
RequiredSchema_Depth_3,9
Format_int64_Depth_3,15
PathParameter,0
MaxLength_Depth_1,70
RequiredRequestBody,17
ReadOnlySchema_Depth_2,126
Format_int32_Depth_2,12
SchemaType_object,881
Properties_Depth_1,1966
ParameterExtension,0
Responses,52
ResponsesExtension,0
RequiredParameter,66
MinLength_Depth_2,44
Component,53
MaxLength_Depth_3,6
ComponentExtension,0
ResponseHeader,0
ResponseLink,0
ResponseCode_401,52
RequiredSchema_Depth_2,66
Path_Put,7
NullableSchema_Depth_3,47
SchemaExtension_Depth_3,0
Response,254
RefSchema_Depth_1,279
Items_Depth_1,149
SchemaType_string,1945
Format_int64_Depth_1,31
ParameterComponent,0
GlobalExtension,1
RequestBodyExtension,0
SchemaType_boolean,335
SecurityScheme_Type_http,1
Properties_Depth_2,943
RequestBodyContent_application/json,18
Format_date-time_Depth_2,25
ResponseContent_application/json,43
Path_Post,8
RequiredSchema_Depth_1,43
RequestBodyComponent,0
ServerVariable,0
Format_int32_Depth_1,36
ResponseCode_400,48
Format_uuid_Depth_2,85
GlobalWebhook,0
PathExtension,0
Enum_Depth_2,531
Path_Delete,9
MinLength_Depth_1,62
ExampleComponent,0
Format_uuid_Depth_1,244
SchemaComponent,52
HeaderComponent,0
ResponseComponent,0
Path_Get,25
path_Parameter,63
ResponseCode_201,6
Properties_Depth_3,144
SchemaType_integer,168
ResponseExtension,0
SchemaExtension_Depth_2,0
SecuritySchemeComponent,1
