OpenAPI feature,Count
Response,3
ResponseLink,0
RequiredSchema_Depth_2,11
query_Parameter,3
SecuritySchemeExtension,0
OperationExtension,0
OperationParameter,3
ResponseExtension,0
ResponseContent_application/json,2
Format_date-time_Depth_2,4
CallbackComponent,0
Callback,0
SchemaExtension_Depth_1,0
Example,0
ParameterComponent,0
SecuritySchemeComponent,1
SecurityScheme_In_header,1
SchemaType_string,19
NullableSchema_Depth_1,11
Format_date-time_Depth_1,4
LinkComponent,0
MaxLength_Depth_1,3
SecurityScheme_Type_apiKey,1
Operation,3
Enum_Depth_1,0
Schema_Depth_2,27
ParameterExtension,0
RequiredSchema_Depth_1,13
Minimum_Depth_1,15
MinLength_Depth_2,2
GlobalExtension,0
Tag,0
OperationTag,3
Responses,3
Properties_Depth_2,25
Minimum_Depth_2,15
ServerExtension,0
PathParameter,0
PathExtension,0
SchemaExtension_Depth_2,0
MediaTypeExtension,0
Path,3
Properties_Depth_1,29
MediaTypeEncoding,0
ResponseComponent,0
PathServer,0
SchemaType_object,5
Maximum_Depth_1,15
RequestBodyComponent,0
ServerVariable,0
SchemaComponent,2
ResponseCode_200,3
Schema_Depth_1,36
NullableSchema_Depth_2,9
ReadOnlySchema_Depth_1,3
GlobalSecurity,1
RefSchema_Depth_2,2
Enum_Depth_2,0
ComponentExtension,0
ResponsesExtension,0
ResponseHeader,0
Header,0
SchemaType_integer,33
Component,3
HeaderComponent,0
Link,0
Encoding,0
ReadOnlySchema_Depth_2,3
SchemaType_number,2
GlobalWebhook,0
Server,1
Path_Get,3
SchemaType_array,2
MinLength_Depth_1,2
ExampleComponent,0
ResponseContent,2
Items_Depth_1,2
Maximum_Depth_2,15
SchemaType_boolean,2
Format_uri_Depth_1,2
MaxLength_Depth_2,3
