OpenAPI feature,Count
ServerVariable,0
Path,4
RefSchema_Depth_2,16
ResponseLink,0
path_Parameter,6
Component,4
Tag,1
Example,0
RefSchema_Depth_1,35
MediaTypeEncoding,0
PathServer,0
Path_Get,4
ParameterExtension,0
Response,7
Enum_Depth_2,4
ResponseContent_*/*,2
ComponentExtension,0
Server,2
SchemaType_array,45
Enum_Depth_3,0
PathParameter,0
RequiredParameter,6
Enum_Depth_1,8
ResponsesExtension,0
SchemaType_object,16
OperationParameter,7
Properties_Depth_1,72
ResponseCode_200,4
ResponseContent_application/json,5
SchemaExtension_Depth_3,0
SecuritySchemeComponent,0
query_Parameter,1
Encoding,0
Items_Depth_2,14
ExampleComponent,0
LinkComponent,0
ServerExtension,0
SchemaType_string,79
ResponseExtension,0
Callback,0
SchemaComponent,4
CallbackComponent,0
OperationExtension,8
SchemaExtension_Depth_2,0
SchemaType_integer,10
Format_float_Depth_1,5
RequestBodyComponent,0
GlobalExtension,0
Operation,4
ResponseContent,7
ResponseCode_416,1
HeaderComponent,0
TagExtension,0
Items_Depth_1,31
MediaTypeExtension,0
Format_int32_Depth_1,4
PathExtension,0
ResponseComponent,0
Link,0
GlobalWebhook,0
SchemaExtension_Depth_1,0
Properties_Depth_2,32
Responses,4
ResponseHeader,0
Header,0
SchemaType_number,17
Properties_Depth_3,0
ResponseCode_404,2
ParameterComponent,0
