OpenAPI feature,Count
SchemaExtension_Depth_1,0
Items_Depth_4,4
Format_int32_Depth_2,2
HeaderComponent,0
Path,4
ResponseHeader,0
RefSchema_Depth_1,16
SchemaType_array,66
Properties_Depth_4,18
ResponseCode_204,1
OauthFlowTokenUrl,1
GlobalWebhook,0
Operation,4
RefSchema_Depth_4,9
ResponseCode_400,4
ResponseCode_404,2
PathParameter,0
Response,16
Header,0
ResponseCode_200,4
GlobalExtension,0
ResponseContent_application/json,4
SchemaExtension_Depth_3,0
SecuritySchemeComponent,1
ResponseExtension,8
ResponseLink,0
RefSchema_Depth_5,4
ResponseCode_409,1
OAuthFlowScopes,1
SchemaComponent,22
RequiredParameter,5
Responses,4
SchemaType_object,136
SchemaExtension_Depth_5,0
Component,23
Encoding,0
Example,0
Items_Depth_1,30
ServerExtension,0
OperationTag,4
ResponseCode_500,4
SchemaType_integer,3
Properties_Depth_5,8
Callback,0
ResponseComponent,0
ServerVariable,1
Enum_Depth_1,0
SchemaExtension_Depth_2,0
RefSchema_Depth_3,29
SchemaExtension_Depth_4,0
SecuritySchemeExtension,0
SchemaType_boolean,19
ParameterComponent,0
ExampleComponent,0
OperationParameter,9
query_Parameter,5
RefSchema_Depth_2,41
Items_Depth_2,23
Enum_Depth_4,0
OAuthFlow,1
LinkComponent,0
OAuthFlowAuthorizationUrl,1
OAuthFlowsExtension,0
Path_Get,4
Properties_Depth_1,116
ParameterExtension,0
PathServer,0
RequestBodyComponent,0
Properties_Depth_2,125
Items_Depth_3,9
OAuthFlowExtension,0
Server,1
Tag,0
ResponsesExtension,0
ResponseContent,4
Enum_Depth_2,0
path_Parameter,4
Enum_Depth_3,0
ComponentExtension,0
SecurityScheme_Type_oauth2,1
Link,0
Enum_Depth_5,0
MediaTypeExtension,0
MediaTypeEncoding,0
PathExtension,0
OperationExtension,0
SchemaType_string,216
Properties_Depth_3,72
Format_int32_Depth_1,1
CallbackComponent,0
