OpenAPI feature,Count
Path,1
SchemaType_integer,1
OAuthFlowExtension,0
ParameterComponent,0
Operation,1
RefSchema_Depth_1,17
Schema_Depth_2,18
Properties_Depth_3,0
RequestBody,1
ResponseCode_500,1
Format_int32_Depth_1,1
PathParameter,0
Tag,0
RequestBodyExtension,0
SchemaType_array,13
MediaTypeEncoding,0
SecurityScheme_Type_oauth2,1
SchemaType_object,30
Enum_Depth_2,0
ResponseHeader,0
ResponseComponent,0
OperationTag,1
Enum_Depth_3,0
Callback,0
SecuritySchemeExtension,0
OAuthFlowScopes,1
OAuthFlowsExtension,0
ComponentExtension,0
header_Parameter,2
RequestBodyContent,1
ResponseExtension,2
OAuthFlowAuthorizationUrl,1
ExampleComponent,0
SecuritySchemeComponent,1
Example,0
SchemaExtension_Depth_3,0
Response,3
ResponsesExtension,0
ResponseLink,0
PathExtension,0
GlobalWebhook,0
Server,1
ServerExtension,0
Schema_Depth_1,97
RefSchema_Depth_2,4
RequestBodyContent_application/json,1
Responses,1
PathServer,0
HeaderComponent,0
ResponseCode_400,1
SchemaComponent,9
GlobalExtension,0
Schema_Depth_3,3
MediaTypeExtension,0
ResponseContent_application/json,1
Properties_Depth_2,8
RequestBodyComponent,0
OAuthFlow,1
CallbackComponent,0
OperationParameter,2
Enum_Depth_1,0
SchemaExtension_Depth_1,0
Items_Depth_1,10
Encoding,0
Link,0
Component,10
ResponseCode_201,1
Path_Post,1
SchemaType_string,74
RequiredParameter,1
Items_Depth_2,3
Header,0
OauthFlowTokenUrl,1
LinkComponent,0
SchemaExtension_Depth_2,0
ResponseContent,1
ServerVariable,1
OperationExtension,0
Properties_Depth_1,84
ParameterExtension,0
