OpenAPI feature,Count
SchemaType_integer,114
ResponseCode_204,15
Operation,46
ParameterExtension,0
RequiredRequestBody,14
RefSchema_Depth_1,109
SchemaExtension_Depth_2,0
Items_Depth_2,130
OAuthFlowAuthorizationUrl,1
Component,63
OauthFlowTokenUrl,2
Path_Post,21
RequestBody,18
RequestBodyContent_application/json,18
ResponsesExtension,0
Enum_Depth_3,0
Format_int32_Depth_2,49
RequestBodyContent,18
Responses,46
ResponseContent_application/json,31
ComponentExtension,0
GlobalWebhook,0
Example,0
Path_Put,2
OAuthFlowExtension,0
OAuthFlowsExtension,0
SecuritySchemeComponent,1
OAuthFlow,2
GlobalExtension,0
Server,1
SchemaType_string,1244
SchemaExtension_Depth_1,0
ResponseExtension,122
Properties_Depth_4,24
LinkComponent,0
ResponseLink,0
RefSchema_Depth_3,66
ServerExtension,0
OperationExtension,0
RequestBodyExtension,0
SchemaType_array,338
Items_Depth_1,150
ResponseHeader,5
ResponseCode_207,6
ResponseCode_400,45
HeaderComponent,0
MediaTypeExtension,0
Callback,0
PathExtension,0
Path_Get,18
Path,36
ResponseCode_201,6
SecurityScheme_Type_oauth2,1
Properties_Depth_1,674
Properties_Depth_2,740
Header,5
SchemaExtension_Depth_3,0
OAuthFlowScopes,3
OperationTag,46
ResponseCode_500,46
Link,0
Format_int32_Depth_3,10
HeaderMultipleExamples,0
ResponseContent_text/tab-separated-values,1
RequiredParameter,43
Enum_Depth_1,0
Response,213
ResponseContent,32
Properties_Depth_3,224
Format_int32_Depth_1,55
Items_Depth_3,58
ResponseCode_404,37
HeaderContent,0
HeaderStyle_,10
ResponseCode_202,1
ExampleComponent,0
RefSchema_Depth_2,213
ResponseCode_409,31
RequestBodyComponent,0
Tag,0
Encoding,0
MediaTypeEncoding,0
Enum_Depth_4,0
Path_Delete,5
SchemaComponent,62
ParameterComponent,0
CallbackComponent,0
ServerVariable,1
SchemaType_object,468
SchemaExtension_Depth_4,0
PathParameter,0
HeaderExtension,0
SchemaType_boolean,27
query_Parameter,37
ResponseComponent,0
OperationParameter,74
path_Parameter,37
Enum_Depth_2,0
ResponseCode_200,26
RefSchema_Depth_4,12
PathServer,0
SecuritySchemeExtension,0
