OpenAPI feature,Count
OperationTag,7
SchemaExtension_Depth_2,0
Properties_Depth_3,36
MediaTypeEncoding,0
OAuthFlowExtension,0
ServerVariable,1
Path,7
Operation,7
ResponseCode_200,7
Properties_Depth_2,198
SecurityScheme_Type_oauth2,1
SchemaType_string,218
SchemaExtension_Depth_1,0
ResponseLink,0
ResponseExtension,20
ResponseCode_500,7
OAuthFlow,2
Enum_Depth_1,0
Responses,7
ResponseCode_204,6
Callback,0
PathExtension,0
OperationParameter,13
path_Parameter,7
ResponseHeader,0
ParameterComponent,0
ServerExtension,0
SchemaType_object,85
RefSchema_Depth_3,18
ParameterExtension,0
Header,0
ExampleComponent,0
RequiredParameter,7
Enum_Depth_2,0
SecuritySchemeComponent,1
Format_int32_Depth_1,3
OAuthFlowAuthorizationUrl,1
Link,0
RefSchema_Depth_1,10
Items_Depth_2,58
Schema_Depth_1,128
Properties_Depth_1,88
ResponseCode_400,7
OAuthFlowScopes,2
SchemaExtension_Depth_3,0
MediaTypeExtension,0
PathServer,0
Enum_Depth_3,0
Component,21
RequestBodyComponent,0
HeaderComponent,0
Path_Get,7
ResponseContent,7
Schema_Depth_3,94
SchemaType_boolean,35
Encoding,0
Example,0
RefSchema_Depth_2,37
Schema_Depth_2,243
Format_int32_Depth_3,4
ResponseComponent,0
query_Parameter,6
Response,34
SchemaType_array,103
ResponsesExtension,0
ResponseCode_404,7
Items_Depth_1,45
Format_int32_Depth_2,17
SchemaComponent,20
GlobalExtension,0
Server,1
OperationExtension,0
OauthFlowTokenUrl,2
ComponentExtension,0
Tag,0
ResponseContent_application/json,7
SecuritySchemeExtension,0
LinkComponent,0
CallbackComponent,0
GlobalWebhook,0
SchemaType_integer,24
PathParameter,0
OAuthFlowsExtension,0
