OpenAPI feature,Count
SchemaType_number,5
PathExtension,0
Format_date-time_Depth_1,48
SecurityScheme_Type_oauth2,1
GlobalSecurity,1
ResponseContent,25
ResponseCode_200,40
query_Parameter,183
SchemaComponent,1
OAuthFlowAuthorizationUrl,1
ResponseHeader,0
OAuthFlowsExtension,0
SchemaType_array,20
Response,89
OAuthFlow,1
ResponsesExtension,0
LinkComponent,0
Component,19
RequiredRequestBody,23
ResponseLink,0
Properties_Depth_1,243
SchemaType_object,93
Header,0
ResponseExtension,0
Link,0
RequiredParameter,32
ResponseCode_101,1
HeaderComponent,0
SecuritySchemeExtension,0
Server,1
OperationParameter,198
RequestBodyContent_application/json,23
Enum_Depth_1,46
Tag,0
Encoding,0
MediaTypeEncoding,0
ResponseCode_201,16
ResponseContent_application/json,25
SchemaType_boolean,123
Callback,0
ResponseCode_401,3
Path_Post,14
SchemaType_string,274
Example,0
Path_Delete,6
ResponseComponent,0
CallbackComponent,0
ServerExtension,0
Path,36
ResponseCode_400,29
Path_Get,29
RequestBodyComponent,0
RequestBody,23
RequestBodyContent,23
Properties_Depth_2,18
PathParameter,0
RefSchema_Depth_1,2
ParameterComponent,17
SecuritySchemeComponent,1
OAuthFlowExtension,0
GlobalWebhook,0
OperationTag,57
SchemaExtension_Depth_1,0
Responses,57
path_Parameter,31
SchemaType_integer,17
GlobalExtension,7
Operation,57
RequestBodyExtension,0
MediaTypeExtension,0
ParameterExtension,0
Maximum_Depth_1,12
Minimum_Depth_1,14
RequiredSchema_Depth_1,11
ExampleComponent,0
ComponentExtension,0
ServerVariable,0
OperationExtension,0
Items_Depth_1,20
Enum_Depth_2,0
SchemaExtension_Depth_2,0
PathServer,0
header_Parameter,1
Path_Patch,8
OAuthFlowScopes,40
