OpenAPI feature,Count
RequestBody,7
ReadOnlySchema_Depth_1,5
Schema_Depth_1,153
Example,133
Responses,28
ResponseContent_application/json,21
Schema_Depth_3,1
Properties_Depth_3,0
SchemaExtension_Depth_3,0
TagExtension,0
Format_date_Depth_2,5
Enum_Depth_2,30
Maximum_Depth_1,4
ResponseCode_503,1
query_Parameter,9
Callback,0
Pattern_Depth_2,1
SecurityScheme_Type_oauth2,2
Properties_Depth_1,98
ParameterExtension,4
Format_date_Depth_1,8
RequestBodyComponent,0
Enum_Depth_1,33
SecuritySchemeExtension,0
OauthFlowTokenUrl,2
Properties_Depth_2,61
Path,24
SchemaType_boolean,21
RequiredSchema_Depth_2,16
ResponseComponent,0
SchemaType_object,43
ResponseContent,21
RequiredSchema_Depth_1,10
ParameterComponent,0
Encoding,0
ResponseCode_200,18
Path_Delete,4
Minimum_Depth_1,11
ResponsesExtension,0
SchemaType_number,49
SchemaComponent,0
OAuthFlow,2
SchemaType_string,95
SchemaExample_Depth_2,44
Minimum_Depth_2,6
Maximum_Depth_2,2
Items_Depth_2,1
ParameterExample,1
SecuritySchemeComponent,2
OAuthFlowExtension,0
GlobalWebhook,0
PathExtension,0
SchemaExample_Depth_1,86
ParameterStyle_form,1
ComponentExtension,0
path_Parameter,18
Component,2
OAuthFlowAuthorizationUrl,1
DefaultResponse,1
ResponseLink,0
Link,0
ReadOnlySchema_Depth_2,1
SchemaExtension_Depth_1,2
Path_Get,15
RefSchema_Depth_1,12
Response,29
PathParameter,0
MediaTypeExtension,0
ExplodeParameter,4
OperationParameter,27
Format_uuid_Depth_1,5
RefSchema_Depth_2,11
HeaderComponent,0
MediaTypeExample,2
Tag,3
Server,1
SchemaExtension_Depth_2,1
ResponseCode_201,1
Enum_Depth_3,2
OAuthFlowScopes,11
ResponseHeader,0
ResponseExtension,0
PathServer,0
MinLength_Depth_1,16
CallbackComponent,0
OperationTag,28
Schema_Depth_2,73
MediaTypeEncoding,0
Operation,28
SchemaType_integer,5
Pattern_Depth_1,4
Path_Put,3
RequestBodyContent,7
ResponseCode_204,8
RequestBodyExtension,0
OAuthFlowsExtension,0
RequiredParameter,19
ServerVariable,0
Items_Depth_1,12
RequestBodyContent_application/json,7
ExampleComponent,0
GlobalExtension,0
Header,0
OperationExtension,0
SchemaType_array,13
Format_uuid_Depth_2,1
Path_Post,6
LinkComponent,0
ServerExtension,0
