OpenAPI feature,Count
Encoding,0
ResponseExtension,0
SchemaComponent,0
Server,1
Schema_Depth_1,27
ParameterExtension,0
CallbackComponent,0
OperationExtension,0
ResponseLink,0
RequestBodyComponent,0
OAuthFlowAuthorizationUrl,1
ServerVariable,0
Example,0
Header,0
ResponseContent,0
ResponseComponent,0
RequiredParameter,27
Enum_Depth_1,0
Response,27
ResponseHeader,0
SecuritySchemeComponent,1
ServerExtension,0
OperationTag,27
ResponseCode_200,27
Callback,0
ParameterComponent,0
LinkComponent,0
SecurityScheme_Type_oauth2,1
OauthFlowTokenUrl,1
OAuthFlowsExtension,0
ComponentExtension,0
GlobalWebhook,0
PathExtension,0
OAuthFlow,1
ResponsesExtension,0
ExampleComponent,0
Path,27
OperationParameter,27
SchemaExtension_Depth_1,0
Link,0
PathParameter,0
SchemaType_string,27
PathServer,0
OAuthFlowExtension,0
SecuritySchemeExtension,0
GlobalExtension,0
Operation,27
Component,1
OAuthFlowScopes,4
path_Parameter,27
HeaderComponent,0
Tag,0
Path_Get,27
Properties_Depth_1,0
Responses,27
