OpenAPI feature,Count
ExampleExtension,6
Properties_Depth_4,30
Format_float_Depth_1,1
CallbackComponent,0
ExternalDocExtension,0
Enum_Depth_4,12
ComponentExtension,0
Path_Post,18
Schema_Depth_1,2655
ParameterExample,138
RequestBodyExtension,0
Format_date-time_Depth_2,474
ServerExtension,0
ResponseCode_200,47
Format_date-time_Depth_3,127
Encoding,0
SchemaExtension_Depth_1,2
Component,76
Response,62
PathParameter,8
Properties_Depth_3,945
Format_uri_Depth_1,9
ResponseContent_application/zip,1
MediaTypeExample,48
Schema_Depth_2,7071
LinkComponent,0
ParameterComponent,2
Operation,59
SchemaType_object,2312
ResponseContent,62
Format_int64_Depth_1,82
ExampleComponent,8
OperationParameter,222
RequiredParameter,148
SchemaType_array,568
Format_int32_Depth_1,181
Format_int32_Depth_2,665
Minimum_Depth_1,6
MediaTypeEncoding,0
Header,0
Discriminator_Depth_2,43
Link,0
RefSchema_Depth_3,74
Path,35
Enum_Depth_1,476
OperationExtension,0
RequestBody,24
RequiredSchema_Depth_1,180
SchemaComponent,65
OneOf_Depth_1,1
GlobalExtension,1
Format_date-time_Depth_4,6
RequestBodyComponent,1
OperationTag,59
Format_int32_Depth_4,8
Format_ipv4_Depth_1,2
RequestBodyContent_application/json,23
Items_Depth_1,225
SchemaType_integer,2065
SchemaType_boolean,1900
ResponseCode_201,12
ResponsesExtension,0
Format_int32_Depth_3,165
Path_Get,24
SchemaExample_Depth_4,30
ResponseContent_application/json,60
AnyOf_Depth_2,41
Items_Depth_3,8
Format_ipv4_Depth_2,2
query_Parameter,91
Discriminator_Depth_1,1
header_Parameter,121
ParameterExtension,0
Enum_Depth_2,1577
SchemaExample_Depth_3,701
SchemaExtension_Depth_3,0
TagExtension,0
Schema_Depth_3,1280
HeaderComponent,0
ServerVariable,0
OneOf_Depth_2,2
RequiredRequestBody,1
Properties_Depth_1,2270
SchemaExample_Depth_2,3508
PathExtension,0
RefSchema_Depth_4,4
ResponseComponent,0
Format_int64_Depth_3,23
Server,1
RefSchema_Depth_2,513
Callback,0
path_Parameter,20
RequiredSchema_Depth_2,880
Properties_Depth_2,6714
RefSchema_Depth_1,200
Format_email_Depth_2,33
SchemaType_number,7
Format_binary_Depth_1,3
GlobalWebhook,0
SchemaExample_Depth_1,1172
MediaTypeExtension,0
Format_float_Depth_2,6
ResponseContent_application/octet-stream,1
GlobalExternalDoc,1
PathServer,0
Enum_Depth_3,219
Tag,12
Format_date-time_Depth_1,144
SecuritySchemeComponent,0
SchemaExtension_Depth_2,7
Responses,59
Path_Patch,8
RequestBodyContent_multipart/form-data,1
Format_int64_Depth_2,297
RequestBodyContent,24
ResponseHeader,0
Format_email_Depth_1,10
Example,5630
ResponseCode_207,3
Items_Depth_2,335
Path_Delete,9
SchemaExtension_Depth_4,0
SchemaType_string,4138
ResponseExtension,0
ResponseLink,0
Format_uri_Depth_2,11
Schema_Depth_4,38
